payment_id,ride_id,user_id,payment_method,amount,payment_status,transaction_id,payment_time,created_at
18,18,8199,debit_card,21.25,completed,TXN-000018-2732,2024-02-22 09:57:00,2024-02-22 09:57:00
19,19,3473,google_pay,54.75,completed,TXN-000019-6845,2024-04-02 03:06:00,2024-04-02 03:06:00
20,20,9159,apple_pay,38.53,completed,TXN-000020-8731,2024-09-18 18:58:00,2024-09-18 18:58:00
21,21,3955,debit_card,45.91,completed,TXN-000021-7994,2024-11-02 21:14:00,2024-11-02 21:14:00
22,22,5429,credit_card,53.16,completed,TXN-000022-9531,2024-04-18 21:37:00,2024-04-18 21:37:00
23,23,9053,google_pay,12.53,completed,TXN-000023-3493,2024-02-27 15:33:00,2024-02-27 15:33:00
24,24,7318,debit_card,23.28,completed,TXN-000024-9413,2024-05-27 16:41:00,2024-05-27 16:41:00
25,25,7868,google_pay,34.69,completed,TXN-000025-8060,2024-09-11 05:01:00,2024-09-11 05:01:00
26,26,3335,cash,26.94,completed,TXN-000026-8692,2024-10-08 05:11:00,2024-10-08 05:11:00
27,27,3830,apple_pay,5.0,completed,TXN-000027-1545,2024-07-26 19:10:00,2024-07-26 19:10:00
28,28,2863,credit_card,65.58,completed,TXN-000028-1910,2024-02-12 12:24:00,2024-02-12 12:24:00
29,29,2625,credit_card,7.5,completed,TXN-000029-4703,2024-06-10 18:26:00,2024-06-10 18:26:00
30,30,5270,cash,67.18,completed,TXN-000030-6381,2024-05-14 23:43:00,2024-05-14 23:43:00
31,31,7511,apple_pay,8.64,completed,TXN-000031-4094,2024-05-16 23:14:00,2024-05-16 23:14:00
32,32,9425,credit_card,54.11,completed,TXN-000032-1206,2024-11-03 18:46:00,2024-11-03 18:46:00
33,33,6723,google_pay,30.29,completed,TXN-000033-8552,2024-01-29 21:39:00,2024-01-29 21:39:00
34,34,2664,apple_pay,8.3,completed,TXN-000034-2812,2024-08-18 02:13:00,2024-08-18 02:13:00
35,35,8944,credit_card,5.0,completed,TXN-000035-7432,2024-01-06 03:03:00,2024-01-06 03:03:00
36,36,5979,debit_card,5.0,completed,TXN-000036-7378,2024-05-23 04:02:00,2024-05-23 04:02:00
37,37,7004,google_pay,50.36,completed,TXN-000037-2717,2024-02-21 16:06:00,2024-02-21 16:06:00
38,38,4888,credit_card,11.31,completed,TXN-000038-1734,2024-05-15 03:08:00,2024-05-15 03:08:00
39,39,7774,google_pay,17.25,completed,TXN-000039-3847,2024-07-26 05:11:00,2024-07-26 05:11:00
40,40,9471,debit_card,13.95,completed,TXN-000040-3792,2024-06-17 11:56:00,2024-06-17 11:56:00
41,41,9936,apple_pay,5.0,completed,TXN-000041-6508,2024-03-12 00:11:00,2024-03-12 00:11:00
42,42,4001,credit_card,32.79,completed,TXN-000042-6846,2024-01-14 20:45:00,2024-01-14 20:45:00
43,43,4159,apple_pay,31.68,completed,TXN-000043-5476,2024-07-05 05:14:00,2024-07-05 05:14:00
44,44,8750,debit_card,32.85,completed,TXN-000044-5466,2024-08-19 18:34:00,2024-08-19 18:34:00
45,45,6065,cash,11.2,completed,TXN-000045-2606,2024-08-04 23:03:00,2024-08-04 23:03:00
46,46,3561,cash,6.64,completed,TXN-000046-1143,2024-06-16 14:43:00,2024-06-16 14:43:00
47,47,4198,credit_card,108.75,completed,TXN-000047-2483,2024-08-19 23:46:00,2024-08-19 23:46:00
48,48,8398,google_pay,37.28,completed,TXN-000048-9378,2024-01-18 05:35:00,2024-01-18 05:35:00
49,49,7744,credit_card,6.4,completed,TXN-000049-6708,2024-05-19 12:29:00,2024-05-19 12:29:00
50,50,3030,debit_card,0.0,failed,TXN-000050-5980,2024-02-26 15:18:00,2024-02-26 15:18:00
51,51,7085,google_pay,12.11,completed,TXN-000051-2407,2024-11-06 13:26:00,2024-11-06 13:26:00
52,52,4840,debit_card,61.91,completed,TXN-000052-1322,2024-09-24 17:32:00,2024-09-24 17:32:00
53,53,3902,cash,69.41,completed,TXN-000053-4905,2024-02-19 18:42:00,2024-02-19 18:42:00
54,54,7520,credit_card,29.9,completed,TXN-000054-2541,2024-10-31 11:07:00,2024-10-31 11:07:00
55,55,4914,cash,54.9,completed,TXN-000055-1971,2024-01-06 04:30:00,2024-01-06 04:30:00
56,56,6901,debit_card,15.07,completed,TXN-000056-2576,2024-02-08 02:34:00,2024-02-08 02:34:00
57,57,8813,google_pay,40.09,completed,TXN-000057-6049,2024-05-21 05:09:00,2024-05-21 05:09:00
58,58,3490,cash,88.18,completed,TXN-000058-8589,2024-07-14 05:53:00,2024-07-14 05:53:00
59,59,8228,apple_pay,31.61,completed,TXN-000059-8633,2024-01-14 11:01:00,2024-01-14 11:01:00
60,60,3642,credit_card,22.36,completed,TXN-000060-4679,2024-10-09 05:24:00,2024-10-09 05:24:00
61,61,7641,debit_card,60.44,completed,TXN-000061-6059,2024-03-14 16:52:00,2024-03-14 16:52:00
62,62,6518,debit_card,87.14,completed,TXN-000062-9310,2024-02-29 08:50:00,2024-02-29 08:50:00
63,63,5755,cash,85.74,completed,TXN-000063-9162,2024-01-24 20:24:00,2024-01-24 20:24:00
64,64,9213,credit_card,53.24,completed,TXN-000064-3349,2024-08-18 03:05:00,2024-08-18 03:05:00
65,65,9179,google_pay,5.0,completed,TXN-000065-6551,2024-01-27 13:03:00,2024-01-27 13:03:00
66,66,6166,google_pay,45.3,completed,TXN-000066-2036,2024-05-10 01:15:00,2024-05-10 01:15:00
67,67,8663,debit_card,57.41,completed,TXN-000067-4333,2024-11-23 03:58:00,2024-11-23 03:58:00
68,68,6313,cash,57.62,completed,TXN-000068-9441,2024-01-31 11:27:00,2024-01-31 11:27:00
69,69,5275,apple_pay,59.57,completed,TXN-000069-4440,2024-05-17 17:01:00,2024-05-17 17:01:00
70,70,6813,credit_card,8.7,completed,TXN-000070-6604,2024-06-23 09:11:00,2024-06-23 09:11:00
71,71,4485,debit_card,32.38,completed,TXN-000071-9865,2024-02-06 11:37:00,2024-02-06 11:37:00
72,72,2897,debit_card,15.32,completed,TXN-000072-6341,2024-12-24 21:23:00,2024-12-24 21:23:00
73,73,9856,apple_pay,61.85,completed,TXN-000073-4843,2024-09-26 10:21:00,2024-09-26 10:21:00
74,74,4210,apple_pay,51.39,completed,TXN-000074-1467,2024-06-12 22:24:00,2024-06-12 22:24:00
75,75,4695,google_pay,42.06,completed,TXN-000075-8086,2024-05-22 17:29:00,2024-05-22 17:29:00
76,76,5981,credit_card,43.47,completed,TXN-000076-9336,2024-08-15 14:54:00,2024-08-15 14:54:00
77,77,5061,cash,75.44,completed,TXN-000077-7481,2024-04-20 08:15:00,2024-04-20 08:15:00
78,78,3484,debit_card,75.57,completed,TXN-000078-3743,2024-09-14 03:36:00,2024-09-14 03:36:00
79,79,9034,credit_card,76.61,completed,TXN-000079-1354,2024-06-02 09:18:00,2024-06-02 09:18:00
80,80,8967,cash,45.92,completed,TXN-000080-9470,2024-09-14 20:18:00,2024-09-14 20:18:00
81,81,6663,apple_pay,27.64,completed,TXN-000081-2227,2024-10-14 17:06:00,2024-10-14 17:06:00
82,82,3990,apple_pay,50.9,completed,TXN-000082-4478,2024-08-30 02:30:00,2024-08-30 02:30:00
83,83,2746,cash,43.41,completed,TXN-000083-6407,2024-08-10 09:07:00,2024-08-10 09:07:00
84,84,6228,credit_card,5.0,completed,TXN-000084-8974,2024-11-07 12:23:00,2024-11-07 12:23:00
85,85,8571,apple_pay,21.31,completed,TXN-000085-7800,2024-09-21 04:39:00,2024-09-21 04:39:00
86,86,7039,apple_pay,36.89,completed,TXN-000086-7428,2024-04-04 14:27:00,2024-04-04 14:27:00
87,87,3759,credit_card,110.26,completed,TXN-000087-7059,2024-05-21 12:58:00,2024-05-21 12:58:00
88,88,3523,apple_pay,50.83,completed,TXN-000088-2964,2024-03-13 15:32:00,2024-03-13 15:32:00
89,89,9519,cash,0.0,failed,TXN-000089-7819,2024-08-27 07:02:00,2024-08-27 07:02:00
90,90,3505,google_pay,30.3,completed,TXN-000090-3462,2024-09-24 03:02:00,2024-09-24 03:02:00
91,91,2979,apple_pay,44.76,completed,TXN-000091-2609,2024-07-26 16:11:00,2024-07-26 16:11:00
92,92,4709,debit_card,5.0,completed,TXN-000092-3768,2024-07-26 19:59:00,2024-07-26 19:59:00
93,93,9573,google_pay,86.38,completed,TXN-000093-2866,2024-11-04 15:31:00,2024-11-04 15:31:00
94,94,8604,apple_pay,5.0,completed,TXN-000094-9243,2024-12-04 19:34:00,2024-12-04 19:34:00
95,95,8999,debit_card,50.25,completed,TXN-000095-4497,2024-06-07 12:01:00,2024-06-07 12:01:00
96,96,4298,debit_card,7.29,completed,TXN-000096-7248,2024-12-02 09:40:00,2024-12-02 09:40:00
97,97,8732,credit_card,29.83,completed,TXN-000097-6904,2024-03-16 05:29:00,2024-03-16 05:29:00
98,98,5170,apple_pay,24.4,completed,TXN-000098-9443,2024-04-21 15:05:00,2024-04-21 15:05:00
99,99,5150,apple_pay,11.93,completed,TXN-000099-9799,2024-02-08 08:46:00,2024-02-08 08:46:00
100,100,2594,google_pay,22.61,completed,TXN-000100-4663,2024-09-01 21:22:00,2024-09-01 21:22:00
101,101,6829,apple_pay,18.54,completed,TXN-000101-5845,2024-04-02 16:24:00,2024-04-02 16:24:00
102,102,4452,cash,95.08,completed,TXN-000102-9753,2024-01-19 07:15:00,2024-01-19 07:15:00
103,103,9483,apple_pay,12.98,completed,TXN-000103-5625,2024-07-30 20:34:00,2024-07-30 20:34:00
104,104,8657,apple_pay,54.15,completed,TXN-000104-7222,2024-10-28 01:44:00,2024-10-28 01:44:00
105,105,2941,apple_pay,43.0,completed,TXN-000105-3289,2024-01-16 09:55:00,2024-01-16 09:55:00
106,106,5001,cash,7.32,completed,TXN-000106-1620,2024-12-27 08:47:00,2024-12-27 08:47:00
107,107,9192,debit_card,22.93,completed,TXN-000107-6714,2024-04-07 04:05:00,2024-04-07 04:05:00
108,108,3080,cash,10.32,completed,TXN-000108-9105,2024-09-04 03:59:00,2024-09-04 03:59:00
109,109,5473,debit_card,69.15,completed,TXN-000109-8224,2024-10-02 16:02:00,2024-10-02 16:02:00
110,110,5228,cash,5.0,completed,TXN-000110-7123,2024-07-28 09:37:00,2024-07-28 09:37:00
111,111,7328,cash,0.0,failed,TXN-000111-5309,2024-01-15 18:20:00,2024-01-15 18:20:00
112,112,8552,apple_pay,5.0,completed,TXN-000112-2273,2024-03-24 08:46:00,2024-03-24 08:46:00
113,113,5686,apple_pay,47.35,completed,TXN-000113-5222,2024-10-22 06:28:00,2024-10-22 06:28:00
114,114,6147,google_pay,49.98,completed,TXN-000114-5614,2024-07-09 01:44:00,2024-07-09 01:44:00
115,115,9287,cash,50.43,completed,TXN-000115-8705,2024-12-19 05:08:00,2024-12-19 05:08:00
116,116,8143,cash,29.57,completed,TXN-000116-5687,2024-07-07 03:25:00,2024-07-07 03:25:00
117,117,6842,debit_card,12.4,completed,TXN-000117-8818,2024-08-15 21:43:00,2024-08-15 21:43:00
118,118,5896,credit_card,37.59,completed,TXN-000118-7923,2024-09-10 01:14:00,2024-09-10 01:14:00
119,119,5698,debit_card,34.68,completed,TXN-000119-3494,2024-11-08 13:51:00,2024-11-08 13:51:00
120,120,9585,apple_pay,63.67,completed,TXN-000120-1466,2024-09-25 13:05:00,2024-09-25 13:05:00
121,121,5849,cash,30.67,completed,TXN-000121-5149,2024-03-24 07:02:00,2024-03-24 07:02:00
122,122,5766,credit_card,17.88,completed,TXN-000122-2692,2024-03-29 06:19:00,2024-03-29 06:19:00
123,123,9175,credit_card,71.27,completed,TXN-000123-8741,2024-04-07 20:56:00,2024-04-07 20:56:00
124,124,4008,google_pay,22.95,completed,TXN-000124-8643,2024-05-21 02:30:00,2024-05-21 02:30:00
125,125,4078,credit_card,46.39,completed,TXN-000125-7907,2024-10-02 02:40:00,2024-10-02 02:40:00
126,126,6742,google_pay,44.76,completed,TXN-000126-9262,2024-06-15 18:19:00,2024-06-15 18:19:00
127,127,8822,debit_card,20.94,completed,TXN-000127-1375,2024-03-26 01:33:00,2024-03-26 01:33:00
128,128,9533,google_pay,22.87,completed,TXN-000128-7922,2024-01-24 21:36:00,2024-01-24 21:36:00
129,129,8863,apple_pay,74.26,completed,TXN-000129-9777,2024-06-17 06:33:00,2024-06-17 06:33:00
130,130,4648,credit_card,11.39,completed,TXN-000130-9760,2024-05-21 19:18:00,2024-05-21 19:18:00
131,131,9062,credit_card,64.6,completed,TXN-000131-3547,2024-07-22 06:00:00,2024-07-22 06:00:00
132,132,9715,debit_card,33.43,completed,TXN-000132-7079,2024-03-26 16:49:00,2024-03-26 16:49:00
133,133,9307,credit_card,38.64,completed,TXN-000133-6351,2024-05-06 02:59:00,2024-05-06 02:59:00
134,134,8802,debit_card,78.37,completed,TXN-000134-2257,2024-01-26 07:48:00,2024-01-26 07:48:00
135,135,8527,credit_card,50.85,completed,TXN-000135-8637,2024-07-03 04:10:00,2024-07-03 04:10:00
136,136,6409,google_pay,34.08,completed,TXN-000136-5649,2024-12-29 03:38:00,2024-12-29 03:38:00
137,137,8361,debit_card,52.7,completed,TXN-000137-7464,2024-10-16 03:57:00,2024-10-16 03:57:00
138,138,9492,debit_card,48.44,completed,TXN-000138-3857,2024-04-27 11:42:00,2024-04-27 11:42:00
139,139,4891,google_pay,49.14,completed,TXN-000139-9619,2024-06-15 01:09:00,2024-06-15 01:09:00
140,140,9125,debit_card,50.27,completed,TXN-000140-2365,2024-11-21 10:44:00,2024-11-21 10:44:00
141,141,6515,debit_card,34.44,completed,TXN-000141-1604,2024-04-04 17:20:00,2024-04-04 17:20:00
142,142,3515,credit_card,38.01,completed,TXN-000142-5047,2024-12-05 08:18:00,2024-12-05 08:18:00
143,143,6682,credit_card,43.03,completed,TXN-000143-1180,2024-01-31 08:02:00,2024-01-31 08:02:00
144,144,4963,debit_card,10.81,completed,TXN-000144-3866,2024-07-18 06:01:00,2024-07-18 06:01:00
145,145,4444,credit_card,27.25,completed,TXN-000145-6294,2024-10-15 22:49:00,2024-10-15 22:49:00
146,146,4300,apple_pay,45.8,completed,TXN-000146-3069,2024-05-28 10:58:00,2024-05-28 10:58:00
147,147,8201,apple_pay,38.32,completed,TXN-000147-3355,2024-08-19 21:48:00,2024-08-19 21:48:00
148,148,9480,apple_pay,11.81,completed,TXN-000148-6483,2024-10-22 15:37:00,2024-10-22 15:37:00
149,149,3335,debit_card,99.26,completed,TXN-000149-7604,2024-03-23 02:47:00,2024-03-23 02:47:00
150,150,9039,cash,75.31,completed,TXN-000150-2201,2024-10-25 16:09:00,2024-10-25 16:09:00
151,151,2548,debit_card,8.44,completed,TXN-000151-2516,2024-05-19 23:26:00,2024-05-19 23:26:00
152,152,2690,debit_card,33.4,completed,TXN-000152-1177,2024-03-07 11:29:00,2024-03-07 11:29:00
153,153,8403,debit_card,35.56,completed,TXN-000153-5404,2024-05-21 21:11:00,2024-05-21 21:11:00
154,154,7884,google_pay,71.86,completed,TXN-000154-6080,2024-01-07 18:03:00,2024-01-07 18:03:00
155,155,8581,apple_pay,47.37,completed,TXN-000155-1527,2024-03-09 17:29:00,2024-03-09 17:29:00
156,156,9055,credit_card,0.0,failed,TXN-000156-1827,2024-07-08 14:14:00,2024-07-08 14:14:00
157,157,3062,debit_card,87.89,completed,TXN-000157-7653,2024-07-29 15:17:00,2024-07-29 15:17:00
158,158,6036,cash,34.86,completed,TXN-000158-4760,2024-07-14 05:04:00,2024-07-14 05:04:00
159,159,9606,debit_card,0.0,failed,TXN-000159-5393,2024-01-21 11:01:00,2024-01-21 11:01:00
160,160,3745,debit_card,18.43,completed,TXN-000160-1305,2024-09-27 08:26:00,2024-09-27 08:26:00
161,161,4013,credit_card,56.8,completed,TXN-000161-4402,2024-04-25 05:05:00,2024-04-25 05:05:00
162,162,4771,debit_card,10.27,completed,TXN-000162-1488,2024-03-28 20:58:00,2024-03-28 20:58:00
163,163,6824,credit_card,23.34,completed,TXN-000163-9289,2024-07-21 00:19:00,2024-07-21 00:19:00
164,164,9108,google_pay,55.02,completed,TXN-000164-7593,2024-05-09 16:22:00,2024-05-09 16:22:00
165,165,3245,cash,85.38,completed,TXN-000165-6655,2024-11-24 21:57:00,2024-11-24 21:57:00
166,166,3087,cash,32.82,completed,TXN-000166-9530,2024-08-29 05:27:00,2024-08-29 05:27:00
167,167,7674,apple_pay,44.73,completed,TXN-000167-1418,2024-10-12 16:56:00,2024-10-12 16:56:00
168,168,5366,apple_pay,55.38,completed,TXN-000168-3728,2024-03-13 17:00:00,2024-03-13 17:00:00
169,169,6192,credit_card,45.21,completed,TXN-000169-5920,2024-07-26 16:04:00,2024-07-26 16:04:00
170,170,2947,cash,52.12,completed,TXN-000170-8654,2024-10-31 08:02:00,2024-10-31 08:02:00
171,171,5571,credit_card,38.59,completed,TXN-000171-1496,2024-09-08 01:20:00,2024-09-08 01:20:00
172,172,5239,cash,49.78,completed,TXN-000172-7805,2024-05-10 01:50:00,2024-05-10 01:50:00
173,173,8669,apple_pay,43.17,completed,TXN-000173-9667,2024-07-19 15:55:00,2024-07-19 15:55:00
174,174,8645,credit_card,38.44,completed,TXN-000174-4783,2024-04-13 17:02:00,2024-04-13 17:02:00
175,175,7519,cash,0.0,failed,TXN-000175-7810,2024-04-20 04:16:00,2024-04-20 04:16:00
176,176,5006,debit_card,37.53,completed,TXN-000176-1587,2024-02-29 19:46:00,2024-02-29 19:46:00
177,177,6411,apple_pay,8.79,completed,TXN-000177-9764,2024-03-18 07:37:00,2024-03-18 07:37:00
178,178,4747,credit_card,49.07,completed,TXN-000178-1233,2024-05-13 19:33:00,2024-05-13 19:33:00
179,179,5567,debit_card,86.46,completed,TXN-000179-2544,2024-07-03 04:21:00,2024-07-03 04:21:00
180,180,6483,cash,47.83,completed,TXN-000180-6083,2024-06-12 23:13:00,2024-06-12 23:13:00
181,181,4907,cash,7.24,completed,TXN-000181-8479,2024-11-13 16:11:00,2024-11-13 16:11:00
182,182,4166,cash,15.26,completed,TXN-000182-2265,2024-11-05 03:24:00,2024-11-05 03:24:00
183,183,8136,google_pay,44.09,completed,TXN-000183-8676,2024-07-05 23:25:00,2024-07-05 23:25:00
184,184,6850,debit_card,76.84,completed,TXN-000184-2739,2024-08-21 02:37:00,2024-08-21 02:37:00
185,185,9133,google_pay,83.1,completed,TXN-000185-1881,2024-09-19 08:14:00,2024-09-19 08:14:00
186,186,5750,apple_pay,59.6,completed,TXN-000186-5736,2024-09-24 00:47:00,2024-09-24 00:47:00
187,187,8436,debit_card,41.52,completed,TXN-000187-4809,2024-03-27 15:51:00,2024-03-27 15:51:00
188,188,4246,apple_pay,55.54,completed,TXN-000188-8994,2024-01-22 00:34:00,2024-01-22 00:34:00
189,189,3528,credit_card,5.0,completed,TXN-000189-9535,2024-10-20 05:23:00,2024-10-20 05:23:00
190,190,9753,credit_card,50.45,completed,TXN-000190-9221,2024-05-07 09:10:00,2024-05-07 09:10:00
191,191,6819,credit_card,39.76,completed,TXN-000191-1496,2024-01-16 20:30:00,2024-01-16 20:30:00
192,192,6640,google_pay,20.08,completed,TXN-000192-6293,2024-03-18 13:44:00,2024-03-18 13:44:00
193,193,6318,debit_card,62.25,completed,TXN-000193-4560,2024-08-07 08:37:00,2024-08-07 08:37:00
194,194,3180,cash,40.0,completed,TXN-000194-7358,2024-11-30 22:26:00,2024-11-30 22:26:00
195,195,3880,cash,22.31,completed,TXN-000195-3818,2024-11-23 17:07:00,2024-11-23 17:07:00
196,196,3249,google_pay,49.64,completed,TXN-000196-8810,2024-02-05 23:47:00,2024-02-05 23:47:00
197,197,3079,google_pay,97.71,completed,TXN-000197-8737,2024-05-30 10:13:00,2024-05-30 10:13:00
198,198,5786,cash,88.4,completed,TXN-000198-8377,2024-01-18 20:51:00,2024-01-18 20:51:00
199,199,7413,credit_card,28.64,completed,TXN-000199-4974,2024-10-27 04:38:00,2024-10-27 04:38:00
200,200,8851,credit_card,39.04,completed,TXN-000200-6659,2024-05-09 18:17:00,2024-05-09 18:17:00
201,201,9110,google_pay,79.15,completed,TXN-000201-1149,2024-05-03 15:44:00,2024-05-03 15:44:00
202,202,6754,debit_card,61.89,completed,TXN-000202-5377,2024-06-11 15:31:00,2024-06-11 15:31:00
203,203,9494,credit_card,88.98,completed,TXN-000203-5921,2024-04-07 00:55:00,2024-04-07 00:55:00
204,204,8518,google_pay,31.95,completed,TXN-000204-2185,2024-05-17 01:20:00,2024-05-17 01:20:00
205,205,8332,credit_card,31.7,completed,TXN-000205-5340,2024-01-25 12:04:00,2024-01-25 12:04:00
206,206,3557,apple_pay,27.51,completed,TXN-000206-2779,2024-07-06 09:22:00,2024-07-06 09:22:00
207,207,3206,debit_card,22.46,completed,TXN-000207-5044,2024-03-15 01:52:00,2024-03-15 01:52:00
208,208,8841,apple_pay,26.32,completed,TXN-000208-3182,2024-12-25 00:08:00,2024-12-25 00:08:00
209,209,2613,credit_card,49.51,completed,TXN-000209-3652,2024-08-03 07:29:00,2024-08-03 07:29:00
210,210,5935,debit_card,0.0,failed,TXN-000210-4944,2024-09-15 15:37:00,2024-09-15 15:37:00
211,211,8479,credit_card,12.92,completed,TXN-000211-7381,2024-02-03 22:27:00,2024-02-03 22:27:00
212,212,9346,debit_card,18.99,completed,TXN-000212-2834,2024-08-07 22:06:00,2024-08-07 22:06:00
213,213,9595,google_pay,74.65,completed,TXN-000213-1272,2024-05-15 13:23:00,2024-05-15 13:23:00
214,214,9210,google_pay,54.59,completed,TXN-000214-2860,2024-11-18 08:19:00,2024-11-18 08:19:00
215,215,6960,debit_card,65.78,completed,TXN-000215-8934,2024-08-19 21:28:00,2024-08-19 21:28:00
216,216,5060,google_pay,45.56,completed,TXN-000216-7134,2024-02-06 10:43:00,2024-02-06 10:43:00
217,217,8375,apple_pay,73.56,completed,TXN-000217-7924,2024-06-27 14:29:00,2024-06-27 14:29:00
218,218,3746,credit_card,48.0,completed,TXN-000218-2796,2024-06-03 01:17:00,2024-06-03 01:17:00
219,219,8121,google_pay,52.19,completed,TXN-000219-5451,2024-10-29 16:58:00,2024-10-29 16:58:00
220,220,6129,credit_card,5.0,completed,TXN-000220-5689,2024-01-29 18:02:00,2024-01-29 18:02:00
221,221,8089,debit_card,29.25,completed,TXN-000221-7704,2024-08-25 17:56:00,2024-08-25 17:56:00
222,222,7996,cash,75.03,completed,TXN-000222-3646,2024-06-12 14:40:00,2024-06-12 14:40:00
223,223,9032,debit_card,47.94,completed,TXN-000223-3669,2024-02-18 19:25:00,2024-02-18 19:25:00
224,224,8487,apple_pay,43.32,completed,TXN-000224-3109,2024-11-14 04:31:00,2024-11-14 04:31:00
225,225,6253,apple_pay,0.0,failed,TXN-000225-2260,2024-05-30 01:17:00,2024-05-30 01:17:00
226,226,9243,apple_pay,19.96,completed,TXN-000226-5252,2024-04-06 18:12:00,2024-04-06 18:12:00
227,227,3488,google_pay,0.0,failed,TXN-000227-9619,2024-03-29 08:40:00,2024-03-29 08:40:00
228,228,5793,google_pay,55.16,completed,TXN-000228-6470,2024-01-12 22:31:00,2024-01-12 22:31:00
229,229,4205,google_pay,0.0,failed,TXN-000229-8057,2024-05-20 00:56:00,2024-05-20 00:56:00
230,230,3781,credit_card,50.67,completed,TXN-000230-9277,2024-05-27 07:14:00,2024-05-27 07:14:00
231,231,4138,debit_card,59.24,completed,TXN-000231-7417,2024-07-19 21:03:00,2024-07-19 21:03:00
232,232,7349,google_pay,38.37,completed,TXN-000232-8975,2024-08-19 00:43:00,2024-08-19 00:43:00
233,233,2694,google_pay,5.0,completed,TXN-000233-4663,2024-01-05 23:52:00,2024-01-05 23:52:00
234,234,4697,google_pay,20.0,completed,TXN-000234-5449,2024-07-18 14:05:00,2024-07-18 14:05:00
235,235,8958,credit_card,40.04,completed,TXN-000235-9939,2024-08-24 04:09:00,2024-08-24 04:09:00
236,236,9219,apple_pay,45.81,completed,TXN-000236-6937,2024-06-20 09:12:00,2024-06-20 09:12:00
237,237,3198,cash,32.49,completed,TXN-000237-8677,2024-09-11 15:45:00,2024-09-11 15:45:00
238,238,5723,google_pay,88.68,completed,TXN-000238-7694,2024-06-23 07:29:00,2024-06-23 07:29:00
239,239,3981,credit_card,15.26,completed,TXN-000239-2355,2024-06-12 17:11:00,2024-06-12 17:11:00
240,240,8604,credit_card,16.05,completed,TXN-000240-4403,2024-01-03 00:23:00,2024-01-03 00:23:00
241,241,5518,apple_pay,13.82,completed,TXN-000241-7544,2024-03-02 12:15:00,2024-03-02 12:15:00
242,242,7483,google_pay,54.07,completed,TXN-000242-8715,2024-05-22 09:50:00,2024-05-22 09:50:00
243,243,6822,cash,60.03,completed,TXN-000243-5038,2024-05-03 09:23:00,2024-05-03 09:23:00
244,244,7455,google_pay,23.18,completed,TXN-000244-2793,2024-04-22 02:39:00,2024-04-22 02:39:00
245,245,3228,google_pay,38.73,completed,TXN-000245-7007,2024-12-22 10:42:00,2024-12-22 10:42:00
246,246,5102,apple_pay,52.71,completed,TXN-000246-5379,2024-08-16 05:26:00,2024-08-16 05:26:00
247,247,9543,cash,5.0,completed,TXN-000247-4155,2024-04-17 03:31:00,2024-04-17 03:31:00
248,248,4101,debit_card,68.33,completed,TXN-000248-9938,2024-05-14 16:13:00,2024-05-14 16:13:00
249,249,6848,debit_card,46.73,completed,TXN-000249-6610,2024-11-21 12:06:00,2024-11-21 12:06:00
250,250,4057,cash,29.23,completed,TXN-000250-9274,2024-11-17 10:16:00,2024-11-17 10:16:00
251,251,4456,credit_card,22.75,completed,TXN-000251-3168,2024-05-28 16:47:00,2024-05-28 16:47:00
252,252,7056,credit_card,15.26,completed,TXN-000252-5057,2024-10-29 11:30:00,2024-10-29 11:30:00
253,253,4688,debit_card,53.76,completed,TXN-000253-8148,2024-10-08 04:44:00,2024-10-08 04:44:00
