rating_id,ride_id,rider_id,driver_id,rating,comment,rated_at,created_at
51,51,7085,541,5,Best ride of the week!,2024-11-06 13:38:00,2024-11-06 13:38:00
52,52,4840,421,5,"Excellent driving, pleasant conversation.",2024-09-24 18:10:00,2024-09-24 18:10:00
53,53,3902,402,4,"Decent driver, took a good route.",2024-02-19 18:52:00,2024-02-19 18:52:00
54,54,7520,867,5,Great driver and smooth ride!,2024-10-31 11:48:00,2024-10-31 11:48:00
55,55,4914,2437,5,Quick pickup and very safe driving.,2024-01-06 04:39:00,2024-01-06 04:39:00
56,56,6901,1265,5,Very polite and clean vehicle.,2024-02-08 02:50:00,2024-02-08 02:50:00
57,57,8813,1945,4,"Decent driver, took a good route.",2024-05-21 05:23:00,2024-05-21 05:23:00
58,58,3490,569,5,Best ride of the week!,2024-07-14 06:22:00,2024-07-14 06:22:00
59,59,8228,1246,3,"Average experience, driver was okay.",2024-01-14 11:28:00,2024-01-14 11:28:00
60,60,3642,451,5,"Excellent driving, pleasant conversation.",2024-10-09 05:41:00,2024-10-09 05:41:00
61,61,7641,68,5,Best ride of the week!,2024-03-14 17:35:00,2024-03-14 17:35:00
62,62,6518,129,5,Great driver and smooth ride!,2024-02-29 09:16:00,2024-02-29 09:16:00
63,63,5755,2327,3,Car could have been cleaner.,2024-01-24 21:07:00,2024-01-24 21:07:00
64,64,9213,385,5,Great driver and smooth ride!,2024-08-18 03:42:00,2024-08-18 03:42:00
65,65,9179,343,3,Ride was cancelled.,2024-01-27 13:23:00,2024-01-27 13:23:00
66,66,6166,51,5,Quick pickup and very safe driving.,2024-05-10 01:49:00,2024-05-10 01:49:00
67,67,8663,1522,2,Late pickup.,2024-11-23 04:25:00,2024-11-23 04:25:00
68,68,6313,2122,4,Pleasant trip.,2024-01-31 11:38:00,2024-01-31 11:38:00
69,69,5275,1687,5,"Excellent driving, pleasant conversation.",2024-05-17 17:26:00,2024-05-17 17:26:00
70,70,6813,886,3,Car could have been cleaner.,2024-06-23 09:17:00,2024-06-23 09:17:00
71,71,4485,2165,5,Great driver and smooth ride!,2024-02-06 11:57:00,2024-02-06 11:57:00
72,72,2897,1192,5,Quick pickup and very safe driving.,2024-12-24 21:41:00,2024-12-24 21:41:00
73,73,9856,1202,5,Best ride of the week!,2024-09-26 10:44:00,2024-09-26 10:44:00
74,74,4210,66,5,"Excellent driving, pleasant conversation.",2024-06-12 22:49:00,2024-06-12 22:49:00
75,75,4695,867,5,Very polite and clean vehicle.,2024-05-22 17:37:00,2024-05-22 17:37:00
76,76,5981,698,4,"Good ride overall, arrived safely.",2024-08-15 14:58:00,2024-08-15 14:58:00
77,77,5061,1912,5,Very polite and clean vehicle.,2024-04-20 08:53:00,2024-04-20 08:53:00
78,78,3484,86,5,Best ride of the week!,2024-09-14 04:20:00,2024-09-14 04:20:00
79,79,9034,2313,5,Great driver and smooth ride!,2024-06-02 09:47:00,2024-06-02 09:47:00
80,80,8967,1681,5,Best ride of the week!,2024-09-14 21:03:00,2024-09-14 21:03:00
81,81,6663,1246,5,Best ride of the week!,2024-10-14 17:35:00,2024-10-14 17:35:00
82,82,3990,1444,5,Great driver and smooth ride!,2024-08-30 03:13:00,2024-08-30 03:13:00
83,83,2746,2430,4,"Decent driver, took a good route.",2024-08-10 09:50:00,2024-08-10 09:50:00
84,84,6228,1105,3,Ride was cancelled.,2024-11-07 12:34:00,2024-11-07 12:34:00
85,85,8571,716,5,Great driver and smooth ride!,2024-09-21 04:53:00,2024-09-21 04:53:00
86,86,7039,2327,5,Very polite and clean vehicle.,2024-04-04 14:32:00,2024-04-04 14:32:00
87,87,3759,2181,5,"Excellent driving, pleasant conversation.",2024-05-21 13:17:00,2024-05-21 13:17:00
88,88,3523,1910,5,Very polite and clean vehicle.,2024-03-13 15:35:00,2024-03-13 15:35:00
89,89,9519,870,2,Ride was cancelled.,2024-08-27 07:09:00,2024-08-27 07:09:00
90,90,3505,976,5,Very polite and clean vehicle.,2024-09-24 03:42:00,2024-09-24 03:42:00
91,91,2979,623,5,Quick pickup and very safe driving.,2024-07-26 16:43:00,2024-07-26 16:43:00
92,92,4709,1008,1,Ride was cancelled.,2024-07-26 20:20:00,2024-07-26 20:20:00
93,93,9573,2099,5,"Excellent driving, pleasant conversation.",2024-11-04 15:55:00,2024-11-04 15:55:00
94,94,8604,33,2,Ride was cancelled.,2024-12-04 19:50:00,2024-12-04 19:50:00
95,95,8999,2258,4,Pleasant trip.,2024-06-07 12:32:00,2024-06-07 12:32:00
96,96,4298,2431,5,Very polite and clean vehicle.,2024-12-02 10:24:00,2024-12-02 10:24:00
97,97,8732,1362,3,"Average experience, driver was okay.",2024-03-16 06:04:00,2024-03-16 06:04:00
98,98,5170,1056,5,Great driver and smooth ride!,2024-04-21 15:32:00,2024-04-21 15:32:00
99,99,5150,1896,5,Best ride of the week!,2024-02-08 09:31:00,2024-02-08 09:31:00
100,100,2594,193,5,Very polite and clean vehicle.,2024-09-01 21:27:00,2024-09-01 21:27:00
101,101,6829,2088,4,"Good ride overall, arrived safely.",2024-04-02 16:36:00,2024-04-02 16:36:00
102,102,4452,1192,4,"Car was very clean, slight delay due to traffic.",2024-01-19 07:50:00,2024-01-19 07:50:00
103,103,9483,478,5,Great driver and smooth ride!,2024-07-30 21:01:00,2024-07-30 21:01:00
104,104,8657,1073,5,Best ride of the week!,2024-10-28 02:25:00,2024-10-28 02:25:00
105,105,2941,226,5,"Excellent driving, pleasant conversation.",2024-01-16 10:01:00,2024-01-16 10:01:00
106,106,5001,2301,4,"Good ride overall, arrived safely.",2024-12-27 09:03:00,2024-12-27 09:03:00
107,107,9192,997,4,Pleasant trip.,2024-04-07 04:38:00,2024-04-07 04:38:00
108,108,3080,1208,1,Terrible driving and very late.,2024-09-04 04:44:00,2024-09-04 04:44:00
109,109,5473,2337,5,Very polite and clean vehicle.,2024-10-02 16:40:00,2024-10-02 16:40:00
110,110,5228,1940,2,Ride was cancelled.,2024-07-28 09:48:00,2024-07-28 09:48:00
111,111,7328,2094,3,Ride was cancelled.,2024-01-15 18:45:00,2024-01-15 18:45:00
112,112,8552,466,3,Ride was cancelled.,2024-03-24 09:11:00,2024-03-24 09:11:00
113,113,5686,1894,4,"Good ride overall, arrived safely.",2024-10-22 06:58:00,2024-10-22 06:58:00
114,114,6147,1155,5,Great driver and smooth ride!,2024-07-09 02:08:00,2024-07-09 02:08:00
115,115,9287,221,4,Pleasant trip.,2024-12-19 05:48:00,2024-12-19 05:48:00
116,116,8143,1186,5,Great driver and smooth ride!,2024-07-07 03:39:00,2024-07-07 03:39:00
117,117,6842,1065,5,"Excellent driving, pleasant conversation.",2024-08-15 22:08:00,2024-08-15 22:08:00
118,118,5896,642,4,Pleasant trip.,2024-09-10 01:33:00,2024-09-10 01:33:00
119,119,5698,1915,4,"Car was very clean, slight delay due to traffic.",2024-11-08 14:34:00,2024-11-08 14:34:00
120,120,9585,1413,5,Great driver and smooth ride!,2024-09-25 13:37:00,2024-09-25 13:37:00
121,121,5849,2133,4,"Car was very clean, slight delay due to traffic.",2024-03-24 07:16:00,2024-03-24 07:16:00
122,122,5766,482,5,Great driver and smooth ride!,2024-03-29 06:30:00,2024-03-29 06:30:00
123,123,9175,1914,4,"Decent driver, took a good route.",2024-04-07 21:01:00,2024-04-07 21:01:00
124,124,4008,1098,3,"Average experience, driver was okay.",2024-05-21 02:41:00,2024-05-21 02:41:00
125,125,4078,1427,5,"Excellent driving, pleasant conversation.",2024-10-02 03:04:00,2024-10-02 03:04:00
126,126,6742,2175,3,"Average experience, driver was okay.",2024-06-15 18:32:00,2024-06-15 18:32:00
127,127,8822,2059,5,Great driver and smooth ride!,2024-03-26 01:53:00,2024-03-26 01:53:00
128,128,9533,2204,5,Best ride of the week!,2024-01-24 21:59:00,2024-01-24 21:59:00
129,129,8863,619,5,"Excellent driving, pleasant conversation.",2024-06-17 07:14:00,2024-06-17 07:14:00
130,130,4648,1754,2,Air conditioning wasn't working.,2024-05-21 19:53:00,2024-05-21 19:53:00
131,131,9062,1750,1,Will not ride again.,2024-07-22 06:33:00,2024-07-22 06:33:00
132,132,9715,24,4,"Good ride overall, arrived safely.",2024-03-26 16:55:00,2024-03-26 16:55:00
133,133,9307,2495,4,Pleasant trip.,2024-05-06 03:08:00,2024-05-06 03:08:00
134,134,8802,2168,5,Best ride of the week!,2024-01-26 08:18:00,2024-01-26 08:18:00
135,135,8527,2435,4,"Car was very clean, slight delay due to traffic.",2024-07-03 04:16:00,2024-07-03 04:16:00
136,136,6409,2117,5,Very polite and clean vehicle.,2024-12-29 04:15:00,2024-12-29 04:15:00
137,137,8361,2479,4,"Car was very clean, slight delay due to traffic.",2024-10-16 04:20:00,2024-10-16 04:20:00
138,138,9492,933,5,Best ride of the week!,2024-04-27 12:13:00,2024-04-27 12:13:00
139,139,4891,2370,1,Will not ride again.,2024-06-15 01:36:00,2024-06-15 01:36:00
140,140,9125,86,5,Quick pickup and very safe driving.,2024-11-21 10:48:00,2024-11-21 10:48:00
141,141,6515,1831,5,Best ride of the week!,2024-04-04 17:59:00,2024-04-04 17:59:00
142,142,3515,1349,5,"Excellent driving, pleasant conversation.",2024-12-05 08:33:00,2024-12-05 08:33:00
143,143,6682,1642,5,Best ride of the week!,2024-01-31 08:28:00,2024-01-31 08:28:00
144,144,4963,685,5,Quick pickup and very safe driving.,2024-07-18 06:31:00,2024-07-18 06:31:00
145,145,4444,1000,3,Driver took a longer route.,2024-10-15 22:55:00,2024-10-15 22:55:00
146,146,4300,660,5,Great driver and smooth ride!,2024-05-28 11:20:00,2024-05-28 11:20:00
147,147,8201,424,4,"Car was very clean, slight delay due to traffic.",2024-08-19 22:10:00,2024-08-19 22:10:00
148,148,9480,1118,5,Great driver and smooth ride!,2024-10-22 15:42:00,2024-10-22 15:42:00
149,149,3335,242,1,Terrible driving and very late.,2024-03-23 02:58:00,2024-03-23 02:58:00
150,150,9039,2331,5,Best ride of the week!,2024-10-25 16:39:00,2024-10-25 16:39:00
151,151,2548,1137,5,Quick pickup and very safe driving.,2024-05-19 23:34:00,2024-05-19 23:34:00
152,152,2690,325,5,"Excellent driving, pleasant conversation.",2024-03-07 12:06:00,2024-03-07 12:06:00
153,153,8403,1746,5,Very polite and clean vehicle.,2024-05-21 21:47:00,2024-05-21 21:47:00
154,154,7884,467,5,Best ride of the week!,2024-01-07 18:29:00,2024-01-07 18:29:00
155,155,8581,1621,5,Quick pickup and very safe driving.,2024-03-09 17:37:00,2024-03-09 17:37:00
156,156,9055,2151,3,Ride was cancelled.,2024-07-08 14:22:00,2024-07-08 14:22:00
157,157,3062,2069,4,"Good ride overall, arrived safely.",2024-07-29 15:40:00,2024-07-29 15:40:00
158,158,6036,2237,5,Quick pickup and very safe driving.,2024-07-14 05:47:00,2024-07-14 05:47:00
159,159,9606,856,1,Ride was cancelled.,2024-01-21 11:10:00,2024-01-21 11:10:00
160,160,3745,2315,5,Quick pickup and very safe driving.,2024-09-27 08:56:00,2024-09-27 08:56:00
161,161,4013,2100,5,Quick pickup and very safe driving.,2024-04-25 05:20:00,2024-04-25 05:20:00
162,162,4771,571,5,Quick pickup and very safe driving.,2024-03-28 21:38:00,2024-03-28 21:38:00
163,163,6824,2179,2,Late pickup.,2024-07-21 00:54:00,2024-07-21 00:54:00
164,164,9108,936,2,Air conditioning wasn't working.,2024-05-09 17:02:00,2024-05-09 17:02:00
165,165,3245,554,4,"Car was very clean, slight delay due to traffic.",2024-11-24 22:08:00,2024-11-24 22:08:00
166,166,3087,242,5,Best ride of the week!,2024-08-29 05:51:00,2024-08-29 05:51:00
167,167,7674,414,5,Best ride of the week!,2024-10-12 17:13:00,2024-10-12 17:13:00
168,168,5366,1246,5,Very polite and clean vehicle.,2024-03-13 17:24:00,2024-03-13 17:24:00
169,169,6192,1196,5,Best ride of the week!,2024-07-26 16:38:00,2024-07-26 16:38:00
170,170,2947,1047,5,Great driver and smooth ride!,2024-10-31 08:16:00,2024-10-31 08:16:00
171,171,5571,1565,5,"Excellent driving, pleasant conversation.",2024-09-08 02:05:00,2024-09-08 02:05:00
172,172,5239,998,5,Very polite and clean vehicle.,2024-05-10 02:11:00,2024-05-10 02:11:00
173,173,8669,2426,3,"Average experience, driver was okay.",2024-07-19 16:10:00,2024-07-19 16:10:00
174,174,8645,1359,5,Best ride of the week!,2024-04-13 17:18:00,2024-04-13 17:18:00
175,175,7519,370,3,Ride was cancelled.,2024-04-20 04:19:00,2024-04-20 04:19:00
176,176,5006,1484,5,Quick pickup and very safe driving.,2024-02-29 20:03:00,2024-02-29 20:03:00
177,177,6411,249,5,Great driver and smooth ride!,2024-03-18 07:58:00,2024-03-18 07:58:00
178,178,4747,1750,5,Best ride of the week!,2024-05-13 20:14:00,2024-05-13 20:14:00
179,179,5567,919,5,Great driver and smooth ride!,2024-07-03 04:24:00,2024-07-03 04:24:00
180,180,6483,52,5,Great driver and smooth ride!,2024-06-12 23:50:00,2024-06-12 23:50:00
181,181,4907,2316,5,Very polite and clean vehicle.,2024-11-13 16:35:00,2024-11-13 16:35:00
182,182,4166,1706,2,Driver was somewhat distracted.,2024-11-05 03:54:00,2024-11-05 03:54:00
183,183,8136,683,5,Quick pickup and very safe driving.,2024-07-05 23:50:00,2024-07-05 23:50:00
184,184,6850,1765,5,Quick pickup and very safe driving.,2024-08-21 03:04:00,2024-08-21 03:04:00
185,185,9133,1128,5,Very polite and clean vehicle.,2024-09-19 08:33:00,2024-09-19 08:33:00
186,186,5750,628,2,Air conditioning wasn't working.,2024-09-24 01:19:00,2024-09-24 01:19:00
187,187,8436,1579,4,Pleasant trip.,2024-03-27 16:23:00,2024-03-27 16:23:00
188,188,4246,1778,4,"Decent driver, took a good route.",2024-01-22 00:41:00,2024-01-22 00:41:00
189,189,3528,1219,1,Ride was cancelled.,2024-10-20 05:32:00,2024-10-20 05:32:00
190,190,9753,1100,2,Late pickup.,2024-05-07 09:55:00,2024-05-07 09:55:00
191,191,6819,1698,4,"Car was very clean, slight delay due to traffic.",2024-01-16 20:35:00,2024-01-16 20:35:00
192,192,6640,2477,4,"Car was very clean, slight delay due to traffic.",2024-03-18 13:48:00,2024-03-18 13:48:00
193,193,6318,456,1,"Rude driver, uncomfortable ride.",2024-08-07 09:04:00,2024-08-07 09:04:00
194,194,3180,310,5,Great driver and smooth ride!,2024-11-30 22:56:00,2024-11-30 22:56:00
195,195,3880,1094,5,Great driver and smooth ride!,2024-11-23 17:09:00,2024-11-23 17:09:00
196,196,3249,573,1,Will not ride again.,2024-02-06 00:03:00,2024-02-06 00:03:00
197,197,3079,588,4,"Decent driver, took a good route.",2024-05-30 10:17:00,2024-05-30 10:17:00
198,198,5786,613,5,Best ride of the week!,2024-01-18 21:08:00,2024-01-18 21:08:00
199,199,7413,1784,5,Very polite and clean vehicle.,2024-10-27 04:58:00,2024-10-27 04:58:00
200,200,8851,58,5,Great driver and smooth ride!,2024-05-09 18:39:00,2024-05-09 18:39:00
201,201,9110,1632,5,Great driver and smooth ride!,2024-05-03 16:07:00,2024-05-03 16:07:00
202,202,6754,1574,5,Great driver and smooth ride!,2024-06-11 15:48:00,2024-06-11 15:48:00
203,203,9494,2358,5,Great driver and smooth ride!,2024-04-07 00:58:00,2024-04-07 00:58:00
204,204,8518,2041,5,Very polite and clean vehicle.,2024-05-17 01:38:00,2024-05-17 01:38:00
205,205,8332,267,5,"Excellent driving, pleasant conversation.",2024-01-25 12:38:00,2024-01-25 12:38:00
206,206,3557,1250,5,Great driver and smooth ride!,2024-07-06 09:48:00,2024-07-06 09:48:00
207,207,3206,1004,2,Late pickup.,2024-03-15 02:01:00,2024-03-15 02:01:00
208,208,8841,892,4,"Decent driver, took a good route.",2024-12-25 00:25:00,2024-12-25 00:25:00
209,209,2613,1823,5,Quick pickup and very safe driving.,2024-08-03 07:56:00,2024-08-03 07:56:00
210,210,5935,1144,2,Ride was cancelled.,2024-09-15 15:49:00,2024-09-15 15:49:00
211,211,8479,1053,5,Very polite and clean vehicle.,2024-02-03 22:36:00,2024-02-03 22:36:00
212,212,9346,613,5,Best ride of the week!,2024-08-07 22:45:00,2024-08-07 22:45:00
213,213,9595,1061,5,"Excellent driving, pleasant conversation.",2024-05-15 13:56:00,2024-05-15 13:56:00
214,214,9210,86,5,Very polite and clean vehicle.,2024-11-18 08:56:00,2024-11-18 08:56:00
215,215,6960,1147,5,Great driver and smooth ride!,2024-08-19 21:43:00,2024-08-19 21:43:00
216,216,5060,1460,5,Quick pickup and very safe driving.,2024-02-06 11:17:00,2024-02-06 11:17:00
217,217,8375,1620,4,"Car was very clean, slight delay due to traffic.",2024-06-27 14:42:00,2024-06-27 14:42:00
218,218,3746,1896,5,"Excellent driving, pleasant conversation.",2024-06-03 01:54:00,2024-06-03 01:54:00
219,219,8121,1615,4,"Decent driver, took a good route.",2024-10-29 17:32:00,2024-10-29 17:32:00
220,220,6129,1419,1,Ride was cancelled.,2024-01-29 18:08:00,2024-01-29 18:08:00
221,221,8089,1571,5,Best ride of the week!,2024-08-25 18:21:00,2024-08-25 18:21:00
222,222,7996,1607,5,Quick pickup and very safe driving.,2024-06-12 15:23:00,2024-06-12 15:23:00
223,223,9032,2181,5,"Excellent driving, pleasant conversation.",2024-02-18 19:29:00,2024-02-18 19:29:00
224,224,8487,993,4,"Car was very clean, slight delay due to traffic.",2024-11-14 05:04:00,2024-11-14 05:04:00
225,225,6253,1835,2,Ride was cancelled.,2024-05-30 01:33:00,2024-05-30 01:33:00
226,226,9243,2364,3,"Average experience, driver was okay.",2024-04-06 18:27:00,2024-04-06 18:27:00
227,227,3488,2114,1,Ride was cancelled.,2024-03-29 08:53:00,2024-03-29 08:53:00
228,228,5793,1968,5,Very polite and clean vehicle.,2024-01-12 22:41:00,2024-01-12 22:41:00
229,229,4205,220,3,Ride was cancelled.,2024-05-20 01:01:00,2024-05-20 01:01:00
230,230,3781,78,1,"Rude driver, uncomfortable ride.",2024-05-27 07:19:00,2024-05-27 07:19:00
231,231,4138,1259,5,Very polite and clean vehicle.,2024-07-19 21:25:00,2024-07-19 21:25:00
232,232,7349,1659,5,Quick pickup and very safe driving.,2024-08-19 01:02:00,2024-08-19 01:02:00
233,233,2694,1636,3,Ride was cancelled.,2024-01-06 00:02:00,2024-01-06 00:02:00
234,234,4697,2457,5,Best ride of the week!,2024-07-18 14:17:00,2024-07-18 14:17:00
235,235,8958,2164,5,Best ride of the week!,2024-08-24 04:27:00,2024-08-24 04:27:00
236,236,9219,1778,5,Quick pickup and very safe driving.,2024-06-20 09:38:00,2024-06-20 09:38:00
237,237,3198,1578,5,Great driver and smooth ride!,2024-09-11 15:55:00,2024-09-11 15:55:00
238,238,5723,1701,5,Very polite and clean vehicle.,2024-06-23 07:50:00,2024-06-23 07:50:00
239,239,3981,2243,4,"Car was very clean, slight delay due to traffic.",2024-06-12 17:13:00,2024-06-12 17:13:00
240,240,8604,1644,5,Very polite and clean vehicle.,2024-01-03 00:51:00,2024-01-03 00:51:00
241,241,5518,1361,5,Quick pickup and very safe driving.,2024-03-02 12:18:00,2024-03-02 12:18:00
242,242,7483,54,5,Very polite and clean vehicle.,2024-05-22 10:05:00,2024-05-22 10:05:00
243,243,6822,838,5,Best ride of the week!,2024-05-03 10:00:00,2024-05-03 10:00:00
244,244,7455,1135,5,"Excellent driving, pleasant conversation.",2024-04-22 02:44:00,2024-04-22 02:44:00
245,245,3228,978,5,Great driver and smooth ride!,2024-12-22 11:21:00,2024-12-22 11:21:00
246,246,5102,1850,5,"Excellent driving, pleasant conversation.",2024-08-16 05:48:00,2024-08-16 05:48:00
247,247,9543,1083,3,Ride was cancelled.,2024-04-17 04:09:00,2024-04-17 04:09:00
248,248,4101,2354,4,"Car was very clean, slight delay due to traffic.",2024-05-14 16:47:00,2024-05-14 16:47:00
249,249,6848,1857,3,"Average experience, driver was okay.",2024-11-21 12:49:00,2024-11-21 12:49:00
250,250,4057,2401,5,Quick pickup and very safe driving.,2024-11-17 10:43:00,2024-11-17 10:43:00
251,251,4456,414,4,Pleasant trip.,2024-05-28 17:13:00,2024-05-28 17:13:00
252,252,7056,40,5,Best ride of the week!,2024-10-29 11:56:00,2024-10-29 11:56:00
253,253,4688,316,5,Great driver and smooth ride!,2024-10-08 04:51:00,2024-10-08 04:51:00
254,254,9454,1021,5,Very polite and clean vehicle.,2024-02-05 19:50:00,2024-02-05 19:50:00
255,255,5944,1811,4,"Car was very clean, slight delay due to traffic.",2024-09-14 08:32:00,2024-09-14 08:32:00
256,256,3301,2261,5,Very polite and clean vehicle.,2024-09-05 19:21:00,2024-09-05 19:21:00
257,257,4188,147,5,Best ride of the week!,2024-06-27 04:44:00,2024-06-27 04:44:00
258,258,8650,2106,5,Great driver and smooth ride!,2024-09-09 00:53:00,2024-09-09 00:53:00
259,259,8664,330,5,Quick pickup and very safe driving.,2024-03-02 05:49:00,2024-03-02 05:49:00
260,260,2707,1476,5,"Excellent driving, pleasant conversation.",2024-12-22 09:07:00,2024-12-22 09:07:00
261,261,4501,737,5,Very polite and clean vehicle.,2024-05-07 15:50:00,2024-05-07 15:50:00
262,262,9342,394,1,Ride was cancelled.,2024-08-18 15:29:00,2024-08-18 15:29:00
263,263,7068,1053,5,Very polite and clean vehicle.,2024-06-14 18:15:00,2024-06-14 18:15:00
264,264,6642,2403,5,Best ride of the week!,2024-08-27 19:27:00,2024-08-27 19:27:00
265,265,6760,2287,5,Great driver and smooth ride!,2024-07-20 22:55:00,2024-07-20 22:55:00
266,266,6725,276,4,"Car was very clean, slight delay due to traffic.",2024-02-29 06:38:00,2024-02-29 06:38:00
267,267,3700,2493,5,Very polite and clean vehicle.,2024-04-30 00:45:00,2024-04-30 00:45:00
268,268,7582,1529,5,"Excellent driving, pleasant conversation.",2024-09-05 07:34:00,2024-09-05 07:34:00
269,269,3202,534,5,Quick pickup and very safe driving.,2024-02-11 08:11:00,2024-02-11 08:11:00
270,270,7382,241,5,Very polite and clean vehicle.,2024-09-16 04:24:00,2024-09-16 04:24:00
271,271,7096,383,5,Quick pickup and very safe driving.,2024-05-17 09:28:00,2024-05-17 09:28:00
272,272,6187,659,5,Quick pickup and very safe driving.,2024-04-24 18:13:00,2024-04-24 18:13:00
273,273,8815,2437,4,"Good ride overall, arrived safely.",2024-11-02 07:09:00,2024-11-02 07:09:00
274,274,6482,257,5,Very polite and clean vehicle.,2024-03-04 06:28:00,2024-03-04 06:28:00
275,275,9048,842,5,"Excellent driving, pleasant conversation.",2024-09-11 12:39:00,2024-09-11 12:39:00
276,276,4497,562,3,Driver took a longer route.,2024-05-26 00:05:00,2024-05-26 00:05:00
