vehicle_id,driver_id,make,model,year,license_plate,insurance_provider,color,is_active,created_at
40,40,Honda,Accord,2019,WR63-177-40,Aviva,Silver,True,2022-05-02 00:00:00
41,41,Subaru,Forester,2020,DH91-768-41,ICBC,White,True,2022-09-17 00:00:00
42,42,Nissan,Sentra,2024,QC44-828-42,Intact Insurance,Black,True,2022-04-20 00:00:00
43,43,Toyota,Prius,2023,DS13-452-43,Intact Insurance,Red,True,2023-02-14 00:00:00
44,44,Tesla,Model Y,2020,XF95-655-44,Intact Insurance,Grey,True,2023-02-17 00:00:00
45,45,Nissan,Altima,2022,WX14-764-45,Co-operators,Blue,True,2022-07-31 00:00:00
46,46,Toyota,Corolla,2023,XM99-331-46,Aviva,Silver,True,2022-07-23 00:00:00
47,47,Subaru,Outback,2021,ZE61-294-47,Aviva,Red,True,2023-01-15 00:00:00
48,48,Nissan,Sentra,2020,NL80-262-48,Aviva,Grey,True,2023-06-12 00:00:00
49,49,Chevrolet,Equinox,2019,WX50-647-49,Aviva,Silver,True,2023-12-05 00:00:00
50,50,Ford,Fusion,2019,EB57-144-50,Intact Insurance,Red,True,2022-07-07 00:00:00
51,51,Nissan,Rogue,2018,AE64-630-51,Aviva,Red,True,2023-11-30 00:00:00
52,52,Ford,Escape,2021,OP65-858-52,Intact Insurance,Blue,True,2022-10-09 00:00:00
53,53,Toyota,Corolla,2019,SO61-353-53,TD Insurance,Grey,True,2023-03-26 00:00:00
54,54,Nissan,Sentra,2024,LV66-737-54,Aviva,Red,True,2022-12-04 00:00:00
55,55,Toyota,Prius,2023,VT34-971-55,TD Insurance,Grey,True,2023-07-10 00:00:00
56,56,Toyota,RAV4,2018,MF55-307-56,Aviva,White,True,2022-08-27 00:00:00
57,57,Subaru,Forester,2024,HY81-507-57,Desjardins,Dark Blue,True,2023-11-20 00:00:00
58,58,Kia,Forte,2018,RP91-698-58,Desjardins,Red,True,2023-08-02 00:00:00
59,59,Nissan,Altima,2022,YH90-564-59,Co-operators,White,True,2023-08-13 00:00:00
60,60,Nissan,Sentra,2018,GC51-632-60,Co-operators,Grey,True,2022-09-04 00:00:00
61,61,Toyota,Camry,2021,CG77-685-61,Aviva,Grey,True,2023-08-01 00:00:00
62,62,Kia,Sportage,2022,KJ91-749-62,Intact Insurance,Grey,True,2023-12-01 00:00:00
63,63,Hyundai,Tucson,2020,HT37-380-63,Intact Insurance,Black,True,2022-10-17 00:00:00
64,64,Honda,CR-V,2021,JN98-285-64,Co-operators,Dark Blue,True,2023-10-19 00:00:00
65,65,Nissan,Altima,2018,MS61-567-65,Co-operators,White,True,2022-04-17 00:00:00
66,66,Nissan,Rogue,2024,IO49-105-66,Co-operators,Silver,True,2023-04-25 00:00:00
67,67,Tesla,Model 3,2018,HP50-112-67,Intact Insurance,Red,True,2023-06-04 00:00:00
68,68,Toyota,Camry,2020,LP15-384-68,TD Insurance,Blue,True,2023-07-11 00:00:00
69,69,Kia,Sportage,2018,EH71-847-69,Co-operators,White,True,2023-11-01 00:00:00
70,70,Ford,Fusion,2023,HL72-510-70,ICBC,Silver,True,2023-06-29 00:00:00
71,71,Hyundai,Tucson,2019,TN54-317-71,ICBC,Dark Blue,True,2023-11-25 00:00:00
72,72,Kia,Forte,2022,BT50-390-72,TD Insurance,Black,True,2023-09-01 00:00:00
73,73,Tesla,Model 3,2021,ZI22-532-73,ICBC,Grey,True,2023-08-23 00:00:00
74,74,Hyundai,Sonata,2023,IQ82-734-74,TD Insurance,Black,True,2023-03-21 00:00:00
75,75,Toyota,Prius,2023,UN11-117-75,ICBC,Black,True,2022-12-27 00:00:00
76,76,Hyundai,Sonata,2019,LX78-333-76,Aviva,Red,True,2022-07-28 00:00:00
77,77,Toyota,Camry,2018,NV70-134-77,Co-operators,Grey,True,2024-01-13 00:00:00
78,78,Ford,Escape,2018,HW97-371-78,Aviva,White,True,2022-04-30 00:00:00
79,79,Toyota,Corolla,2023,ZW68-751-79,Desjardins,Silver,True,2022-07-09 00:00:00
80,80,Nissan,Sentra,2019,PI94-257-80,Co-operators,Black,True,2022-09-02 00:00:00
81,81,Chevrolet,Equinox,2018,HG17-723-81,Aviva,White,True,2023-10-01 00:00:00
82,82,Toyota,Corolla,2018,YR17-653-82,TD Insurance,Dark Blue,True,2023-04-06 00:00:00
83,83,Honda,CR-V,2021,JD32-842-83,TD Insurance,Black,True,2022-05-06 00:00:00
84,84,Honda,Accord,2021,UX66-372-84,Aviva,Red,True,2023-09-18 00:00:00
85,85,Nissan,Rogue,2018,QS91-775-85,Aviva,White,True,2022-05-11 00:00:00
86,86,Nissan,Rogue,2019,JR78-567-86,ICBC,White,True,2022-05-12 00:00:00
87,87,Honda,Accord,2024,RE54-299-87,TD Insurance,Silver,True,2023-03-02 00:00:00
88,88,Honda,Civic,2019,AK34-929-88,ICBC,Silver,True,2023-09-29 00:00:00
89,89,Toyota,Corolla,2019,AF55-204-89,Aviva,Grey,True,2022-08-07 00:00:00
90,90,Nissan,Rogue,2024,ZC87-447-90,Co-operators,Silver,True,2023-06-04 00:00:00
91,91,Ford,Explorer,2019,GT11-879-91,Co-operators,Silver,True,2023-02-16 00:00:00
92,92,Toyota,Prius,2022,LV14-554-92,Intact Insurance,Dark Blue,True,2022-06-29 00:00:00
93,93,Honda,CR-V,2022,GU95-453-93,Intact Insurance,Silver,True,2023-07-01 00:00:00
94,94,Hyundai,Elantra,2020,JO61-476-94,ICBC,Silver,True,2023-10-12 00:00:00
95,95,Tesla,Model 3,2023,XR51-406-95,Co-operators,Red,True,2023-07-24 00:00:00
96,96,Ford,Escape,2019,AN82-945-96,Desjardins,Red,True,2023-01-26 00:00:00
97,97,Chevrolet,Malibu,2021,PG68-117-97,Co-operators,White,True,2022-07-31 00:00:00
98,98,Tesla,Model 3,2022,PM25-589-98,Aviva,White,True,2022-08-30 00:00:00
99,99,Ford,Escape,2020,XC71-263-99,Co-operators,White,True,2023-04-14 00:00:00
100,100,Nissan,Sentra,2018,JL80-928-100,ICBC,Silver,True,2022-05-03 00:00:00
101,101,Toyota,Prius,2022,FS84-683-101,Intact Insurance,Blue,True,2022-07-15 00:00:00
102,102,Toyota,Camry,2018,BF58-351-102,ICBC,Red,True,2022-05-21 00:00:00
103,103,Toyota,Camry,2023,DT84-130-103,TD Insurance,Red,True,2022-12-05 00:00:00
104,104,Subaru,Outback,2020,RY81-353-104,Aviva,Black,True,2022-11-14 00:00:00
105,105,Subaru,Forester,2018,NV10-563-105,Co-operators,Grey,True,2022-06-17 00:00:00
106,106,Chevrolet,Equinox,2024,OF86-597-106,Intact Insurance,White,True,2023-01-02 00:00:00
107,107,Nissan,Altima,2018,VL79-963-107,Co-operators,Blue,True,2022-10-01 00:00:00
108,108,Kia,Sportage,2018,FI42-509-108,Co-operators,Dark Blue,True,2023-12-05 00:00:00
109,109,Hyundai,Sonata,2023,GT90-878-109,TD Insurance,Silver,True,2022-10-12 00:00:00
110,110,Honda,Civic,2020,PP85-845-110,ICBC,White,True,2022-04-20 00:00:00
111,111,Hyundai,Sonata,2024,UE23-381-111,Aviva,White,True,2023-09-13 00:00:00
112,112,Honda,Accord,2024,GH31-192-112,Desjardins,Red,True,2022-05-18 00:00:00
113,113,Toyota,RAV4,2024,SG80-893-113,TD Insurance,Red,True,2023-09-19 00:00:00
114,114,Honda,Accord,2019,MO32-352-114,Aviva,Grey,True,2022-07-22 00:00:00
115,115,Toyota,RAV4,2022,JG62-200-115,Aviva,Grey,True,2023-03-12 00:00:00
116,116,Nissan,Rogue,2019,SO81-656-116,Desjardins,White,True,2023-04-11 00:00:00
117,117,Nissan,Altima,2019,CR92-832-117,Co-operators,Silver,True,2023-02-04 00:00:00
118,118,Hyundai,Sonata,2023,ZM86-143-118,Aviva,Blue,True,2023-10-01 00:00:00
119,119,Honda,CR-V,2020,MG46-600-119,Intact Insurance,Dark Blue,True,2023-06-25 00:00:00
120,120,Chevrolet,Equinox,2023,QB23-979-120,TD Insurance,Grey,True,2022-07-08 00:00:00
121,121,Toyota,Corolla,2022,XN86-501-121,Aviva,Silver,True,2022-05-21 00:00:00
122,122,Nissan,Rogue,2020,AB28-302-122,Aviva,Grey,True,2023-02-15 00:00:00
123,123,Toyota,RAV4,2020,YB70-564-123,Intact Insurance,Dark Blue,True,2022-12-25 00:00:00
124,124,Honda,Civic,2018,WA50-414-124,Desjardins,Silver,True,2022-07-07 00:00:00
125,125,Honda,CR-V,2021,DQ39-826-125,Aviva,Dark Blue,True,2023-12-07 00:00:00
126,126,Kia,Forte,2021,WS83-252-126,Desjardins,Blue,True,2022-07-24 00:00:00
127,127,Toyota,Corolla,2023,RB66-556-127,ICBC,Dark Blue,True,2023-04-26 00:00:00
128,128,Kia,Sportage,2022,YK88-921-128,Co-operators,Blue,True,2022-07-07 00:00:00
129,129,Kia,Sportage,2022,FQ85-791-129,Co-operators,White,True,2022-08-09 00:00:00
130,130,Ford,Explorer,2021,SN17-332-130,ICBC,Dark Blue,True,2022-12-08 00:00:00
131,131,Hyundai,Tucson,2021,QN29-519-131,Aviva,Grey,True,2022-07-05 00:00:00
132,132,Tesla,Model Y,2021,DK93-762-132,Intact Insurance,Black,True,2023-10-07 00:00:00
133,133,Ford,Escape,2018,KA40-434-133,Intact Insurance,Dark Blue,True,2024-01-09 00:00:00
134,134,Toyota,Camry,2023,PR61-170-134,Intact Insurance,Red,True,2022-12-28 00:00:00
135,135,Toyota,Camry,2023,ON67-120-135,Desjardins,Silver,True,2023-07-30 00:00:00
136,136,Toyota,Camry,2018,QE60-295-136,TD Insurance,Silver,True,2023-06-04 00:00:00
137,137,Hyundai,Sonata,2021,EE94-455-137,Intact Insurance,Red,True,2023-07-13 00:00:00
138,138,Hyundai,Tucson,2021,NF21-677-138,ICBC,Dark Blue,True,2023-11-19 00:00:00
139,139,Tesla,Model Y,2019,XR37-861-139,Co-operators,Silver,True,2023-11-16 00:00:00
140,140,Hyundai,Elantra,2018,CM74-902-140,Aviva,Blue,True,2023-07-08 00:00:00
141,141,Toyota,Corolla,2021,CS85-231-141,Aviva,Grey,True,2023-03-11 00:00:00
142,142,Toyota,Prius,2018,OC42-402-142,Co-operators,Black,True,2022-10-24 00:00:00
143,143,Hyundai,Sonata,2019,RO50-967-143,Co-operators,Grey,True,2023-07-07 00:00:00
144,144,Honda,CR-V,2023,DX23-884-144,Intact Insurance,Black,True,2023-07-31 00:00:00
145,145,Nissan,Rogue,2021,AF66-726-145,Intact Insurance,Red,True,2022-08-24 00:00:00
146,146,Ford,Escape,2018,LI14-734-146,ICBC,Red,True,2023-04-21 00:00:00
147,147,Nissan,Rogue,2022,CA39-704-147,Desjardins,Silver,True,2023-11-04 00:00:00
148,148,Toyota,Prius,2018,BH34-419-148,Co-operators,Silver,True,2022-11-12 00:00:00
149,149,Subaru,Outback,2019,DU70-417-149,Co-operators,White,True,2022-09-05 00:00:00
150,150,Toyota,RAV4,2021,LS74-198-150,Intact Insurance,Silver,True,2023-08-12 00:00:00
151,151,Subaru,Outback,2024,CG59-953-151,Co-operators,Grey,True,2023-09-27 00:00:00
152,152,Kia,Forte,2022,KH66-721-152,Desjardins,Blue,True,2022-06-10 00:00:00
153,153,Nissan,Rogue,2019,TM95-658-153,Desjardins,Silver,True,2023-09-27 00:00:00
154,154,Toyota,RAV4,2021,ZY91-966-154,Desjardins,Blue,True,2023-08-28 00:00:00
155,155,Toyota,Prius,2019,CC97-435-155,Co-operators,Blue,True,2022-09-30 00:00:00
156,156,Nissan,Altima,2018,RJ37-385-156,Co-operators,White,True,2022-07-15 00:00:00
157,157,Tesla,Model Y,2018,FD98-659-157,Co-operators,White,True,2023-10-13 00:00:00
158,158,Chevrolet,Malibu,2023,ZF85-196-158,Aviva,Silver,True,2023-02-23 00:00:00
159,159,Ford,Explorer,2018,UV50-389-159,Desjardins,White,True,2022-10-09 00:00:00
160,160,Toyota,RAV4,2019,KS99-467-160,Co-operators,Dark Blue,True,2023-02-05 00:00:00
161,161,Honda,CR-V,2019,WI47-825-161,Desjardins,Red,True,2023-12-26 00:00:00
162,162,Honda,Accord,2019,BO75-766-162,Co-operators,Black,True,2022-05-06 00:00:00
163,163,Nissan,Altima,2023,AR84-670-163,Co-operators,Red,True,2023-12-13 00:00:00
164,164,Tesla,Model 3,2020,XX16-862-164,ICBC,Red,True,2022-07-04 00:00:00
165,165,Nissan,Rogue,2023,OF41-883-165,Desjardins,Grey,True,2023-11-30 00:00:00
166,166,Hyundai,Elantra,2020,DX15-575-166,Desjardins,Blue,True,2023-04-28 00:00:00
167,167,Toyota,RAV4,2020,ZG46-743-167,Desjardins,Silver,True,2023-06-19 00:00:00
168,168,Ford,Fusion,2024,SJ19-453-168,Aviva,Red,True,2022-04-17 00:00:00
169,169,Subaru,Forester,2020,ND66-383-169,Aviva,Silver,True,2023-06-04 00:00:00
170,170,Honda,CR-V,2024,PR14-223-170,ICBC,Grey,True,2022-07-19 00:00:00
171,171,Tesla,Model 3,2020,CH11-105-171,TD Insurance,White,True,2023-02-08 00:00:00
172,172,Toyota,Corolla,2022,NZ22-279-172,Co-operators,Blue,True,2023-11-19 00:00:00
173,173,Honda,Accord,2021,ZE97-908-173,Desjardins,Dark Blue,True,2023-05-12 00:00:00
174,174,Toyota,Prius,2022,YD56-549-174,ICBC,Grey,True,2023-07-08 00:00:00
175,175,Ford,Escape,2020,EG69-643-175,Co-operators,Blue,True,2023-02-28 00:00:00
176,176,Toyota,Corolla,2021,SW13-756-176,Co-operators,Silver,True,2023-07-26 00:00:00
177,177,Nissan,Sentra,2020,FG11-899-177,Desjardins,Dark Blue,True,2022-11-10 00:00:00
178,178,Tesla,Model 3,2023,KU12-207-178,Desjardins,White,True,2022-09-29 00:00:00
179,179,Subaru,Outback,2018,BZ23-871-179,Intact Insurance,Red,True,2022-09-24 00:00:00
180,180,Hyundai,Tucson,2022,HI23-745-180,Aviva,Red,True,2023-09-11 00:00:00
181,181,Honda,Civic,2019,CF20-871-181,Aviva,Black,True,2022-07-25 00:00:00
182,182,Toyota,Corolla,2022,RA99-718-182,ICBC,Blue,True,2023-03-28 00:00:00
183,183,Toyota,Corolla,2021,NZ57-715-183,Co-operators,Dark Blue,True,2022-11-28 00:00:00
184,184,Nissan,Altima,2021,DW44-987-184,Intact Insurance,Black,True,2023-10-24 00:00:00
185,185,Tesla,Model Y,2018,JV54-232-185,Co-operators,Dark Blue,True,2023-10-27 00:00:00
186,186,Nissan,Rogue,2018,MR85-259-186,Intact Insurance,Grey,True,2023-02-19 00:00:00
187,187,Hyundai,Tucson,2021,XA71-357-187,ICBC,Red,True,2023-03-17 00:00:00
188,188,Honda,Accord,2019,JT89-370-188,Co-operators,Blue,True,2023-10-22 00:00:00
189,189,Subaru,Outback,2021,MH82-223-189,TD Insurance,Black,True,2022-05-29 00:00:00
190,190,Ford,Explorer,2021,SJ20-809-190,TD Insurance,Silver,True,2023-11-03 00:00:00
191,191,Ford,Explorer,2018,XC54-229-191,ICBC,Silver,True,2022-06-03 00:00:00
192,192,Ford,Escape,2019,YK48-212-192,Co-operators,Dark Blue,True,2023-06-28 00:00:00
193,193,Ford,Explorer,2022,UK38-126-193,Aviva,Silver,True,2023-02-26 00:00:00
194,194,Nissan,Rogue,2021,YL92-692-194,ICBC,Red,True,2022-06-14 00:00:00
195,195,Chevrolet,Equinox,2023,MH27-755-195,Aviva,Dark Blue,True,2022-11-11 00:00:00
196,196,Honda,CR-V,2020,AR93-461-196,Intact Insurance,Dark Blue,True,2022-08-06 00:00:00
197,197,Honda,Civic,2021,IQ93-828-197,Intact Insurance,Grey,True,2022-09-04 00:00:00
198,198,Ford,Escape,2023,ZT77-476-198,Desjardins,Black,True,2023-03-24 00:00:00
199,199,Ford,Escape,2023,NA52-810-199,ICBC,Blue,True,2023-11-16 00:00:00
200,200,Tesla,Model Y,2023,GE92-165-200,ICBC,Grey,True,2023-01-14 00:00:00
201,201,Nissan,Rogue,2020,MG90-643-201,Desjardins,Silver,True,2023-06-03 00:00:00
202,202,Subaru,Forester,2018,FY77-554-202,Co-operators,Grey,True,2022-07-13 00:00:00
203,203,Tesla,Model 3,2022,OW62-911-203,ICBC,Black,True,2022-11-23 00:00:00
204,204,Chevrolet,Malibu,2022,ZD12-233-204,Co-operators,Black,True,2023-10-20 00:00:00
205,205,Ford,Fusion,2023,JB32-645-205,ICBC,Blue,True,2022-12-05 00:00:00
206,206,Ford,Escape,2020,UX12-143-206,Co-operators,Red,True,2022-12-22 00:00:00
207,207,Toyota,RAV4,2022,AR50-567-207,ICBC,Dark Blue,True,2023-11-01 00:00:00
208,208,Honda,Accord,2020,QI28-288-208,Intact Insurance,Blue,True,2023-05-02 00:00:00
209,209,Nissan,Sentra,2019,ZB68-610-209,Aviva,Dark Blue,True,2023-09-28 00:00:00
210,210,Nissan,Rogue,2018,FL62-337-210,TD Insurance,Dark Blue,True,2023-09-13 00:00:00
211,211,Toyota,RAV4,2018,WV90-497-211,ICBC,Black,True,2023-12-24 00:00:00
212,212,Ford,Explorer,2019,OH32-771-212,ICBC,Silver,True,2023-04-27 00:00:00
213,213,Ford,Fusion,2024,OS70-373-213,ICBC,Silver,True,2022-04-11 00:00:00
214,214,Chevrolet,Malibu,2020,FY33-636-214,TD Insurance,Black,True,2023-12-17 00:00:00
215,215,Chevrolet,Malibu,2019,OE62-900-215,Intact Insurance,Grey,True,2023-03-24 00:00:00
216,216,Ford,Fusion,2021,QF89-715-216,TD Insurance,Grey,True,2022-09-08 00:00:00
217,217,Chevrolet,Malibu,2019,JD99-739-217,TD Insurance,Blue,True,2023-05-28 00:00:00
218,218,Chevrolet,Malibu,2018,IF77-651-218,TD Insurance,Blue,True,2023-12-12 00:00:00
219,219,Honda,Accord,2020,ZS77-504-219,TD Insurance,Red,True,2022-09-16 00:00:00
220,220,Tesla,Model 3,2020,DT55-395-220,Intact Insurance,Red,True,2023-04-18 00:00:00
221,221,Ford,Fusion,2018,PN31-513-221,ICBC,Grey,True,2023-07-28 00:00:00
222,222,Honda,Accord,2024,RS27-468-222,TD Insurance,Grey,True,2023-04-02 00:00:00
223,223,Nissan,Altima,2024,KC43-541-223,Aviva,Blue,True,2023-12-03 00:00:00
224,224,Chevrolet,Malibu,2019,CI35-158-224,ICBC,Blue,True,2023-03-30 00:00:00
225,225,Hyundai,Elantra,2019,DR83-994-225,Desjardins,Black,True,2023-04-17 00:00:00
226,226,Kia,Sportage,2019,BK95-623-226,Co-operators,Grey,True,2023-04-23 00:00:00
227,227,Hyundai,Tucson,2022,GH95-615-227,ICBC,Black,True,2023-06-20 00:00:00
228,228,Ford,Fusion,2018,TD73-391-228,Desjardins,Silver,True,2022-07-04 00:00:00
229,229,Chevrolet,Malibu,2024,VN89-577-229,Co-operators,Silver,True,2023-06-06 00:00:00
230,230,Nissan,Rogue,2023,PD67-771-230,Aviva,Dark Blue,True,2022-08-17 00:00:00
231,231,Hyundai,Sonata,2024,VB88-567-231,Co-operators,Silver,True,2023-09-22 00:00:00
232,232,Nissan,Rogue,2018,ZH93-899-232,ICBC,White,True,2023-01-16 00:00:00
233,233,Ford,Fusion,2020,VV84-472-233,Intact Insurance,Black,True,2023-02-09 00:00:00
234,234,Hyundai,Sonata,2024,CR55-747-234,Intact Insurance,Black,True,2023-06-24 00:00:00
235,235,Toyota,Corolla,2019,AP93-828-235,ICBC,Blue,True,2023-02-19 00:00:00
236,236,Hyundai,Elantra,2024,MH45-638-236,TD Insurance,Black,True,2023-03-07 00:00:00
237,237,Tesla,Model Y,2021,KR75-584-237,ICBC,Dark Blue,True,2022-10-25 00:00:00
238,238,Hyundai,Sonata,2024,AU42-667-238,TD Insurance,Blue,True,2022-12-21 00:00:00
239,239,Chevrolet,Equinox,2023,IC35-586-239,Intact Insurance,Grey,True,2023-09-27 00:00:00
240,240,Ford,Fusion,2018,HV34-940-240,Intact Insurance,Dark Blue,True,2022-07-09 00:00:00
241,241,Hyundai,Tucson,2018,DQ29-496-241,Co-operators,Black,True,2023-06-26 00:00:00
242,242,Tesla,Model 3,2018,YM77-271-242,Co-operators,Red,True,2022-07-02 00:00:00
243,243,Ford,Fusion,2022,ON44-953-243,Co-operators,Grey,True,2023-09-04 00:00:00
244,244,Toyota,Camry,2024,KP48-272-244,Intact Insurance,Silver,True,2022-05-14 00:00:00
245,245,Kia,Forte,2018,RB11-137-245,Intact Insurance,Blue,True,2022-09-13 00:00:00
246,246,Ford,Escape,2018,WM33-163-246,Intact Insurance,Black,True,2023-12-31 00:00:00
247,247,Subaru,Forester,2018,ZM78-671-247,TD Insurance,Black,True,2023-12-23 00:00:00
248,248,Toyota,Corolla,2022,BZ49-267-248,Desjardins,White,True,2023-06-03 00:00:00
249,249,Tesla,Model Y,2023,NH45-457-249,TD Insurance,Silver,True,2023-03-23 00:00:00
250,250,Toyota,Corolla,2023,UI14-820-250,TD Insurance,Blue,True,2023-02-05 00:00:00
251,251,Honda,Civic,2023,LT28-228-251,Intact Insurance,White,True,2022-06-14 00:00:00
252,252,Hyundai,Elantra,2022,UK26-126-252,TD Insurance,Dark Blue,True,2023-06-08 00:00:00
253,253,Hyundai,Tucson,2023,HK82-321-253,Desjardins,Silver,True,2023-06-15 00:00:00
254,254,Toyota,Prius,2023,QZ35-805-254,TD Insurance,Black,True,2022-08-16 00:00:00
255,255,Nissan,Altima,2021,ZP49-418-255,Intact Insurance,Red,True,2023-06-16 00:00:00
256,256,Ford,Escape,2019,DJ99-433-256,Co-operators,Blue,True,2023-09-19 00:00:00
257,257,Hyundai,Sonata,2023,UQ99-741-257,Aviva,Grey,True,2022-07-01 00:00:00
258,258,Ford,Escape,2023,YU83-808-258,Desjardins,Grey,True,2022-07-20 00:00:00
259,259,Ford,Fusion,2023,KM80-274-259,Co-operators,Dark Blue,True,2023-05-25 00:00:00
260,260,Chevrolet,Equinox,2024,YC43-785-260,Intact Insurance,Silver,True,2023-03-13 00:00:00
261,261,Kia,Sportage,2018,CU47-443-261,TD Insurance,Black,True,2022-04-23 00:00:00
262,262,Hyundai,Sonata,2023,AD72-294-262,Co-operators,White,True,2023-07-23 00:00:00
263,263,Nissan,Altima,2022,CD91-274-263,ICBC,Red,True,2023-06-15 00:00:00
264,264,Tesla,Model 3,2018,HD76-628-264,Desjardins,Blue,True,2023-03-24 00:00:00
265,265,Nissan,Altima,2021,BC63-129-265,Intact Insurance,Grey,True,2022-07-08 00:00:00
266,266,Kia,Sportage,2022,TX57-942-266,ICBC,Silver,True,2022-10-01 00:00:00
267,267,Nissan,Sentra,2023,HK27-992-267,Aviva,White,True,2023-07-15 00:00:00
268,268,Toyota,Camry,2022,JE13-952-268,Co-operators,Grey,True,2023-04-12 00:00:00
269,269,Subaru,Forester,2024,SS51-767-269,Co-operators,Silver,True,2023-01-17 00:00:00
270,270,Toyota,Camry,2022,AX84-695-270,Aviva,Blue,True,2023-12-22 00:00:00
271,271,Honda,Civic,2023,VQ27-937-271,Intact Insurance,Red,True,2023-03-19 00:00:00
272,272,Hyundai,Sonata,2024,ZS92-805-272,Co-operators,Grey,True,2022-10-21 00:00:00
273,273,Toyota,Camry,2022,HT99-811-273,TD Insurance,Grey,True,2022-08-29 00:00:00
274,274,Kia,Sportage,2024,KD79-612-274,Desjardins,White,True,2023-11-06 00:00:00
275,275,Kia,Forte,2022,KH48-936-275,ICBC,Black,True,2022-05-15 00:00:00
276,276,Honda,Accord,2024,MH86-658-276,Co-operators,Grey,True,2023-01-30 00:00:00
277,277,Subaru,Outback,2019,LJ43-707-277,ICBC,Red,True,2023-08-21 00:00:00
278,278,Toyota,Camry,2021,KK47-470-278,Desjardins,Blue,True,2023-10-22 00:00:00
279,279,Honda,Accord,2019,HU44-130-279,ICBC,Black,True,2023-07-11 00:00:00
