ride_id,rider_id,driver_id,requested_at,pickup_time,dropoff_time,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,distance_km,fare,surge_multiplier,status,cancellation_reason
13,5351,2434,2024-03-18 03:23:00,2024-03-18 03:26:00,2024-03-18 04:36:00,50.97675,-114.136129,50.968798,-114.139221,32.19,60.71,1.25,completed,
14,3655,1927,2024-03-21 21:57:00,2024-03-21 22:02:00,2024-03-21 22:38:00,46.848187,-71.176381,46.778218,-71.198148,14.53,35.76,1.5,completed,
15,7538,2473,2024-06-13 06:55:00,2024-06-13 07:06:00,2024-06-13 08:26:00,49.851326,-97.158905,49.851977,-97.181957,33.14,74.84,1.5,completed,
16,4417,2204,2024-08-26 16:18:00,2024-08-26 16:22:00,2024-08-26 16:52:00,43.715445,-79.305718,43.702305,-79.326333,15.41,25.07,1.0,completed,
17,2980,5,2024-02-04 21:56:00,2024-02-04 21:59:00,2024-02-04 22:51:00,45.438378,-73.553459,45.507485,-73.489487,22.27,60.69,1.75,completed,
18,8199,1606,2024-02-22 09:19:00,2024-02-22 09:26:00,2024-02-22 09:57:00,45.428587,-73.627017,45.463964,-73.641549,11.3,21.25,1.1,completed,
19,3473,1313,2024-04-02 01:32:00,2024-04-02 01:42:00,2024-04-02 03:06:00,49.232059,-123.096486,49.32479,-123.186275,36.61,54.75,1.0,completed,
20,9159,743,2024-09-18 18:20:00,2024-09-18 18:28:00,2024-09-18 18:58:00,45.552886,-73.494438,45.447993,-73.509444,11.26,38.53,2.0,completed,
21,3955,2435,2024-11-02 20:01:00,2024-11-02 20:11:00,2024-11-02 21:14:00,44.716131,-63.602734,44.651826,-63.547565,30.29,45.91,1.0,completed,
22,5429,526,2024-04-18 20:29:00,2024-04-18 20:38:00,2024-04-18 21:37:00,50.977594,-114.012131,50.985639,-114.064058,27.88,53.16,1.25,completed,
23,9053,1313,2024-02-27 15:09:00,2024-02-27 15:17:00,2024-02-27 15:33:00,43.69849,-79.396694,43.643051,-79.329188,6.45,12.53,1.0,completed,
24,7318,936,2024-05-27 16:00:00,2024-05-27 16:08:00,2024-05-27 16:41:00,49.295384,-123.131042,49.220889,-123.103425,14.13,23.28,1.0,completed,
25,7868,1849,2024-09-11 03:54:00,2024-09-11 04:04:00,2024-09-11 05:01:00,51.048264,-114.077625,50.999697,-113.996007,22.28,34.69,1.0,completed,
26,3335,1961,2024-10-08 04:20:00,2024-10-08 04:27:00,2024-10-08 05:11:00,49.336757,-123.081984,49.30285,-123.120531,16.74,26.94,1.0,completed,
27,3830,2143,2024-07-26 19:10:00,,,49.204584,-123.130834,49.319454,-123.13798,33.09,5.0,1.5,cancelled,no_show
28,2863,674,2024-02-12 11:03:00,2024-02-12 11:14:00,2024-02-12 12:24:00,49.286453,-123.167684,49.345589,-123.069514,28.73,65.58,1.5,completed,
29,2625,1426,2024-06-10 18:14:00,2024-06-10 18:17:00,2024-06-10 18:26:00,53.470648,-113.450841,53.498451,-113.526971,2.37,7.5,1.1,completed,
30,5270,1122,2024-05-14 22:38:00,2024-05-14 22:44:00,2024-05-14 23:43:00,45.463269,-75.681258,45.375902,-75.701788,24.92,67.18,1.75,completed,
31,7511,2010,2024-05-16 22:58:00,2024-05-16 23:01:00,2024-05-16 23:14:00,49.869567,-97.069074,49.885649,-97.152238,3.67,8.64,1.0,completed,
32,9425,347,2024-11-03 17:19:00,2024-11-03 17:27:00,2024-11-03 18:46:00,51.021477,-114.072317,50.98138,-114.088753,36.15,54.11,1.0,completed,
33,6723,1161,2024-01-29 21:06:00,2024-01-29 21:09:00,2024-01-29 21:39:00,45.390498,-75.678093,45.457412,-75.661056,14.81,30.29,1.25,completed,
34,2664,785,2024-08-18 01:58:00,2024-08-18 02:04:00,2024-08-18 02:13:00,48.506996,-123.425558,48.493613,-123.409835,3.43,8.3,1.0,completed,
35,8944,1130,2024-01-06 03:03:00,,,48.463525,-123.356663,48.50497,-123.389433,24.26,5.0,1.75,cancelled,no_show
36,5979,1130,2024-05-23 04:02:00,,,46.76496,-71.210338,46.740343,-71.211746,34.27,5.0,2.0,cancelled,no_show
37,7004,1212,2024-02-21 14:46:00,2024-02-21 14:50:00,2024-02-21 16:06:00,45.394752,-75.644152,45.38804,-75.68767,33.47,50.36,1.0,completed,
38,4888,730,2024-05-15 02:58:00,2024-05-15 03:01:00,2024-05-15 03:08:00,48.444737,-123.399431,48.364096,-123.30577,1.54,11.31,2.0,completed,
39,7774,889,2024-07-26 04:39:00,2024-07-26 04:45:00,2024-07-26 05:11:00,53.472602,-113.419257,53.530533,-113.485986,9.82,17.25,1.0,completed,
40,9471,2300,2024-06-17 11:31:00,2024-06-17 11:35:00,2024-06-17 11:56:00,45.478013,-75.645896,45.472422,-75.695212,6.56,13.95,1.1,completed,
41,9936,2415,2024-03-12 00:11:00,,,43.68213,-79.434833,43.709864,-79.369178,5.05,5.0,1.1,cancelled,rider_cancelled
42,4001,452,2024-01-14 19:56:00,2024-01-14 19:59:00,2024-01-14 20:45:00,44.680294,-63.499443,44.70758,-63.643869,20.92,32.79,1.0,completed,
43,4159,1034,2024-07-05 04:18:00,2024-07-05 04:28:00,2024-07-05 05:14:00,44.670871,-63.606202,44.577863,-63.607122,20.13,31.68,1.0,completed,
44,8750,1483,2024-08-19 17:42:00,2024-08-19 17:46:00,2024-08-19 18:34:00,45.38395,-75.75419,45.387155,-75.718781,18.83,32.85,1.1,completed,
45,6065,624,2024-08-04 22:47:00,2024-08-04 22:58:00,2024-08-04 23:03:00,51.024103,-113.999801,51.08562,-114.116696,3.9,11.2,1.25,completed,
46,3561,958,2024-06-16 14:32:00,2024-06-16 14:35:00,2024-06-16 14:43:00,48.483252,-123.286673,48.443327,-123.406638,2.24,6.64,1.0,completed,
47,4198,2475,2024-08-19 22:19:00,2024-08-19 22:26:00,2024-08-19 23:46:00,43.576941,-79.37613,43.71412,-79.447389,36.34,108.75,2.0,completed,
48,8398,988,2024-01-18 04:24:00,2024-01-18 04:36:00,2024-01-18 05:35:00,44.698181,-63.5598,44.633268,-63.585298,24.13,37.28,1.0,completed,
49,7744,1125,2024-05-19 12:12:00,2024-05-19 12:24:00,2024-05-19 12:29:00,49.357484,-123.131411,49.257645,-123.161429,2.07,6.4,1.0,completed,
50,3030,2465,2024-02-26 15:18:00,,,48.471941,-123.363178,48.508323,-123.30083,30.17,0.0,1.75,cancelled,driver_cancelled
51,7085,541,2024-11-06 12:59:00,2024-11-06 13:11:00,2024-11-06 13:26:00,51.009494,-114.142619,50.971553,-114.011919,6.15,12.11,1.0,completed,
52,4840,421,2024-09-24 16:32:00,2024-09-24 16:35:00,2024-09-24 17:32:00,46.833221,-71.175231,46.787297,-71.204713,26.98,61.91,1.5,completed,
53,3902,402,2024-02-19 17:30:00,2024-02-19 17:37:00,2024-02-19 18:42:00,51.007501,-114.149418,50.983608,-114.088097,30.55,69.41,1.5,completed,
54,7520,867,2024-10-31 10:21:00,2024-10-31 10:25:00,2024-10-31 11:07:00,49.278592,-123.135623,49.31881,-123.186623,18.86,29.9,1.0,completed,
55,4914,2437,2024-01-06 03:33:00,2024-01-06 03:40:00,2024-01-06 04:30:00,49.890762,-97.073949,49.961461,-97.065826,19.91,54.9,1.75,completed,
56,6901,1265,2024-02-08 02:17:00,2024-02-08 02:26:00,2024-02-08 02:34:00,49.333216,-123.133883,49.23628,-123.156936,3.65,15.07,1.75,completed,
57,8813,1945,2024-05-21 04:05:00,2024-05-21 04:13:00,2024-05-21 05:09:00,46.889421,-71.200594,46.775814,-71.202743,23.53,40.09,1.1,completed,
58,3490,569,2024-07-14 04:28:00,2024-07-14 04:35:00,2024-07-14 05:53:00,46.871937,-71.228126,46.854442,-71.270861,33.49,88.18,1.75,completed,
59,8228,1246,2024-01-14 10:33:00,2024-01-14 10:36:00,2024-01-14 11:01:00,43.591621,-79.345199,43.717374,-79.368849,8.79,31.61,2.0,completed,
60,3642,451,2024-10-09 04:48:00,2024-10-09 04:56:00,2024-10-09 05:24:00,49.256802,-123.126804,49.270086,-123.144353,12.02,22.36,1.1,completed,
61,7641,68,2024-03-14 15:47:00,2024-03-14 15:57:00,2024-03-14 16:52:00,49.943268,-97.109309,49.935052,-97.076752,22.17,60.44,1.75,completed,
62,6518,129,2024-02-29 07:34:00,2024-02-29 07:41:00,2024-02-29 08:50:00,45.493683,-73.631438,45.429749,-73.506487,28.62,87.14,2.0,completed,
63,5755,2327,2024-01-24 19:08:00,2024-01-24 19:20:00,2024-01-24 20:24:00,51.09785,-114.082498,50.997904,-114.110673,28.12,85.74,2.0,completed,
64,9213,385,2024-08-18 01:39:00,2024-08-18 01:50:00,2024-08-18 03:05:00,43.638436,-79.336784,43.574185,-79.342787,35.53,53.24,1.0,completed,
65,9179,343,2024-01-27 13:03:00,,,44.723717,-63.538689,44.627178,-63.512949,9.4,5.0,1.25,cancelled,rider_cancelled
66,6166,51,2024-05-10 00:27:00,2024-05-10 00:39:00,2024-05-10 01:15:00,49.844545,-97.180954,49.868158,-97.127496,13.68,45.3,2.0,completed,
67,8663,1522,2024-11-23 02:56:00,2024-11-23 02:59:00,2024-11-23 03:58:00,48.503938,-123.391679,48.431335,-123.290432,24.84,57.41,1.5,completed,
68,6313,2122,2024-01-31 10:39:00,2024-01-31 10:49:00,2024-01-31 11:27:00,45.448148,-73.572811,45.45236,-73.592177,18.08,57.62,2.0,completed,
69,5275,1687,2024-05-17 15:47:00,2024-05-17 15:50:00,2024-05-17 17:01:00,46.782344,-71.20168,46.794346,-71.19522,31.54,59.57,1.25,completed,
70,6813,886,2024-06-23 08:51:00,2024-06-23 09:01:00,2024-06-23 09:11:00,51.013515,-114.151793,51.076288,-114.002982,3.15,8.7,1.1,completed,
71,4485,2165,2024-02-06 10:42:00,2024-02-06 10:52:00,2024-02-06 11:37:00,45.436969,-75.769046,45.48671,-75.624976,20.63,32.38,1.0,completed,
72,2897,1192,2024-12-24 20:55:00,2024-12-24 21:07:00,2024-12-24 21:23:00,49.361661,-123.048303,49.227351,-123.135492,7.45,15.32,1.1,completed,
73,9856,1202,2024-09-26 09:36:00,2024-09-26 09:41:00,2024-09-26 10:21:00,45.47805,-73.543992,45.563139,-73.61986,19.59,61.85,2.0,completed,
74,4210,66,2024-06-12 20:57:00,2024-06-12 21:03:00,2024-06-12 22:24:00,53.482382,-113.529282,53.614142,-113.498173,34.21,51.39,1.0,completed,
75,4695,867,2024-05-22 16:20:00,2024-05-22 16:23:00,2024-05-22 17:29:00,53.613684,-113.4911,53.568367,-113.562282,27.54,42.06,1.0,completed,
76,5981,698,2024-08-15 14:06:00,2024-08-15 14:09:00,2024-08-15 14:54:00,44.718329,-63.583689,44.654425,-63.621475,18.2,43.47,1.5,completed,
77,5061,1912,2024-04-20 07:07:00,2024-04-20 07:11:00,2024-04-20 08:15:00,53.597687,-113.42983,53.546724,-113.464716,28.29,75.44,1.75,completed,
78,3484,86,2024-09-14 02:32:00,2024-09-14 02:38:00,2024-09-14 03:36:00,49.873537,-97.079842,49.89775,-97.1578,24.49,75.57,2.0,completed,
79,9034,2313,2024-06-02 07:59:00,2024-06-02 08:04:00,2024-06-02 09:18:00,49.336865,-123.102672,49.302425,-123.161323,33.98,76.61,1.5,completed,
80,8967,1681,2024-09-14 19:35:00,2024-09-14 19:42:00,2024-09-14 20:18:00,51.113389,-114.022634,50.975548,-114.107845,13.9,45.92,2.0,completed,
81,6663,1246,2024-10-14 16:44:00,2024-10-14 16:47:00,2024-10-14 17:06:00,45.46066,-75.742045,45.470084,-75.730143,8.78,27.64,1.75,completed,
82,3990,1444,2024-08-30 01:18:00,2024-08-30 01:21:00,2024-08-30 02:30:00,49.2265,-123.120519,49.310658,-123.104257,30.55,50.9,1.1,completed,
83,2746,2430,2024-08-10 08:22:00,2024-08-10 08:28:00,2024-08-10 09:07:00,45.425641,-75.628327,45.358519,-75.728727,18.17,43.41,1.5,completed,
84,6228,1105,2024-11-07 12:23:00,,,46.875787,-71.283869,46.820564,-71.27308,10.87,5.0,1.5,cancelled,rider_cancelled
85,8571,716,2024-09-21 04:18:00,2024-09-21 04:26:00,2024-09-21 04:39:00,45.432696,-73.575939,45.449176,-73.533785,5.11,21.31,2.0,completed,
86,7039,2327,2024-04-04 13:16:00,2024-04-04 13:27:00,2024-04-04 14:27:00,44.656314,-63.580723,44.630407,-63.560478,23.85,36.89,1.0,completed,
87,3759,2181,2024-05-21 11:24:00,2024-05-21 11:30:00,2024-05-21 12:58:00,44.640878,-63.524718,44.645722,-63.602579,36.88,110.26,2.0,completed,
88,3523,1910,2024-03-13 14:05:00,2024-03-13 14:15:00,2024-03-13 15:32:00,46.83217,-71.227007,46.823051,-71.275064,33.81,50.83,1.0,completed,
89,9519,870,2024-08-27 07:02:00,,,44.604101,-63.592123,44.634309,-63.585715,35.85,0.0,1.25,cancelled,driver_cancelled
90,3505,976,2024-09-24 02:10:00,2024-09-24 02:13:00,2024-09-24 03:02:00,44.669585,-63.527143,44.595619,-63.502845,19.14,30.3,1.0,completed,
91,2979,623,2024-07-26 14:53:00,2024-07-26 15:01:00,2024-07-26 16:11:00,46.794973,-71.24133,46.798503,-71.245913,29.47,44.76,1.0,completed,
92,4709,1008,2024-07-26 19:59:00,,,49.300798,-123.072083,49.343499,-123.197841,35.0,5.0,1.25,cancelled,no_show
93,9573,2099,2024-11-04 14:24:00,2024-11-04 14:31:00,2024-11-04 15:31:00,49.261217,-123.052385,49.228743,-123.167144,28.35,86.38,2.0,completed,
94,8604,33,2024-12-04 19:34:00,,,44.608811,-63.527097,44.652183,-63.597435,15.32,5.0,1.75,cancelled,rider_cancelled
95,8999,2258,2024-06-07 11:05:00,2024-06-07 11:16:00,2024-06-07 12:01:00,43.67745,-79.326746,43.613364,-79.372815,21.43,50.25,1.5,completed,
96,4298,2431,2024-12-02 09:29:00,2024-12-02 09:35:00,2024-12-02 09:40:00,43.577446,-79.396326,43.573249,-79.385339,2.71,7.29,1.0,completed,
97,8732,1362,2024-03-16 04:36:00,2024-03-16 04:42:00,2024-03-16 05:29:00,46.803951,-71.192478,46.767065,-71.222922,18.81,29.83,1.0,completed,
98,5170,1056,2024-04-21 14:30:00,2024-04-21 14:34:00,2024-04-21 15:05:00,49.341127,-123.076715,49.230337,-123.169943,14.93,24.4,1.0,completed,
99,5150,1896,2024-02-08 08:20:00,2024-02-08 08:31:00,2024-02-08 08:46:00,45.38416,-75.718581,45.350496,-75.683922,6.02,11.93,1.0,completed,
100,2594,193,2024-09-01 20:59:00,2024-09-01 21:03:00,2024-09-01 21:22:00,49.895446,-97.215956,49.837254,-97.080308,10.42,22.61,1.25,completed,
101,6829,2088,2024-04-02 15:52:00,2024-04-02 16:01:00,2024-04-02 16:24:00,46.77638,-71.138132,46.836451,-71.243597,10.74,18.54,1.0,completed,
102,4452,1192,2024-01-19 05:55:00,2024-01-19 05:58:00,2024-01-19 07:15:00,45.487474,-73.492105,45.525196,-73.493002,36.31,95.08,1.75,completed,
103,9483,478,2024-07-30 20:07:00,2024-07-30 20:14:00,2024-07-30 20:34:00,43.712827,-79.318011,43.57527,-79.362486,6.77,12.98,1.0,completed,
104,8657,1073,2024-10-28 00:10:00,2024-10-28 00:22:00,2024-10-28 01:44:00,48.487366,-123.341008,48.440994,-123.308798,36.18,54.15,1.0,completed,
105,2941,226,2024-01-16 08:48:00,2024-01-16 08:55:00,2024-01-16 09:55:00,44.572568,-63.616442,44.576015,-63.640455,25.42,43.0,1.1,completed,
106,5001,2301,2024-12-27 08:28:00,2024-12-27 08:33:00,2024-12-27 08:47:00,48.352507,-123.445113,48.352795,-123.427333,2.73,7.32,1.0,completed,
107,9192,997,2024-04-07 03:24:00,2024-04-07 03:34:00,2024-04-07 04:05:00,43.670564,-79.449242,43.664019,-79.445761,12.39,22.93,1.1,completed,
108,3080,1208,2024-09-04 03:49:00,2024-09-04 03:52:00,2024-09-04 03:59:00,49.903032,-97.205638,49.934415,-97.152463,3.4,10.32,1.25,completed,
109,5473,2337,2024-10-02 14:45:00,2024-10-02 14:51:00,2024-10-02 16:02:00,51.073366,-113.995203,51.026668,-114.031767,30.43,69.15,1.5,completed,
110,5228,1940,2024-07-28 09:37:00,,,53.537758,-113.543274,53.539351,-113.442827,30.68,5.0,1.0,cancelled,no_show
111,7328,2094,2024-01-15 18:20:00,,,45.470561,-75.766819,45.353593,-75.756743,13.9,0.0,1.0,cancelled,driver_cancelled
112,8552,466,2024-03-24 08:46:00,,,53.559359,-113.444782,53.62038,-113.445749,27.09,5.0,2.0,cancelled,no_show
113,5686,1894,2024-10-22 05:51:00,2024-10-22 05:56:00,2024-10-22 06:28:00,45.537326,-73.585336,45.455822,-73.625495,14.41,47.35,2.0,completed,
114,6147,1155,2024-07-09 00:30:00,2024-07-09 00:40:00,2024-07-09 01:44:00,45.437082,-75.646696,45.480469,-75.620674,26.06,49.98,1.25,completed,
115,9287,221,2024-12-19 03:48:00,2024-12-19 03:56:00,2024-12-19 05:08:00,53.614848,-113.490545,53.497461,-113.504052,33.52,50.43,1.0,completed,
116,8143,1186,2024-07-07 02:37:00,2024-07-07 02:45:00,2024-07-07 03:25:00,45.525648,-73.606084,45.510711,-73.555427,16.7,29.57,1.1,completed,
117,6842,1065,2024-08-15 21:27:00,2024-08-15 21:33:00,2024-08-15 21:43:00,51.106772,-113.99874,50.965563,-114.009902,6.36,12.4,1.0,completed,
118,5896,642,2024-09-10 00:30:00,2024-09-10 00:35:00,2024-09-10 01:14:00,53.545758,-113.515243,53.488779,-113.532033,18.98,37.59,1.25,completed,
119,5698,1915,2024-11-08 13:11:00,2024-11-08 13:16:00,2024-11-08 13:51:00,49.820704,-97.063279,49.877444,-97.095534,17.32,34.68,1.25,completed,
120,9585,1413,2024-09-25 11:34:00,2024-09-25 11:44:00,2024-09-25 13:05:00,51.121943,-114.10788,51.024912,-114.106067,33.88,63.67,1.25,completed,
121,5849,2133,2024-03-24 06:35:00,2024-03-24 06:39:00,2024-03-24 07:02:00,43.68408,-79.452189,43.724172,-79.336682,10.02,30.67,1.75,completed,
122,5766,482,2024-03-29 05:52:00,2024-03-29 05:58:00,2024-03-29 06:19:00,49.888683,-97.092819,49.886796,-97.088791,9.11,17.88,1.1,completed,
123,9175,1914,2024-04-07 19:43:00,2024-04-07 19:54:00,2024-04-07 20:56:00,51.01793,-114.09586,51.04037,-114.127148,26.59,71.27,1.75,completed,
124,4008,1098,2024-05-21 01:49:00,2024-05-21 02:00:00,2024-05-21 02:30:00,49.225328,-123.068024,49.309971,-123.092379,13.89,22.95,1.0,completed,
125,4078,1427,2024-10-02 01:52:00,2024-10-02 01:59:00,2024-10-02 02:40:00,53.479118,-113.523237,53.590922,-113.483351,19.59,46.39,1.5,completed,
126,6742,2175,2024-06-15 17:13:00,2024-06-15 17:17:00,2024-06-15 18:19:00,45.573301,-73.536401,45.429897,-73.629237,29.47,44.76,1.0,completed,
127,8822,2059,2024-03-26 00:50:00,2024-03-26 00:59:00,2024-03-26 01:33:00,48.40497,-123.418302,48.356382,-123.345229,12.46,20.94,1.0,completed,
128,9533,2204,2024-01-24 21:03:00,2024-01-24 21:06:00,2024-01-24 21:36:00,45.477174,-75.728745,45.414437,-75.718803,12.35,22.87,1.1,completed,
129,8863,619,2024-06-17 05:19:00,2024-06-17 05:22:00,2024-06-17 06:33:00,48.369944,-123.300359,48.374241,-123.419296,32.86,74.26,1.5,completed,
130,4648,1754,2024-05-21 19:00:00,2024-05-21 19:09:00,2024-05-21 19:18:00,53.503079,-113.441733,53.5514,-113.52421,2.15,11.39,1.75,completed,
131,9062,1750,2024-07-22 05:12:00,2024-07-22 05:16:00,2024-07-22 06:00:00,49.865116,-97.094897,49.873312,-97.069601,20.57,64.6,2.0,completed,
132,9715,24,2024-03-26 15:55:00,2024-03-26 16:07:00,2024-03-26 16:49:00,48.370525,-123.343484,48.468852,-123.374395,19.21,33.43,1.1,completed,
133,9307,2495,2024-05-06 02:00:00,2024-05-06 02:06:00,2024-05-06 02:59:00,49.35065,-123.132079,49.322287,-123.066472,25.1,38.64,1.0,completed,
134,8802,2168,2024-01-26 06:40:00,2024-01-26 06:50:00,2024-01-26 07:48:00,44.592392,-63.515272,44.720086,-63.497503,25.49,78.37,2.0,completed,
135,8527,2435,2024-07-03 02:56:00,2024-07-03 03:04:00,2024-07-03 04:10:00,49.261118,-123.100678,49.21559,-123.131245,26.56,50.85,1.25,completed,
136,6409,2117,2024-12-29 02:57:00,2024-12-29 03:08:00,2024-12-29 03:38:00,50.969084,-114.096785,51.040159,-114.124484,13.73,34.08,1.5,completed,
137,8361,2479,2024-10-16 02:31:00,2024-10-16 02:35:00,2024-10-16 03:57:00,44.581269,-63.518825,44.673522,-63.653889,35.14,52.7,1.0,completed,
138,9492,933,2024-04-27 10:19:00,2024-04-27 10:31:00,2024-04-27 11:42:00,44.586098,-63.568222,44.72861,-63.589861,32.1,48.44,1.0,completed,
139,4891,2370,2024-06-15 00:19:00,2024-06-15 00:29:00,2024-06-15 01:09:00,53.506783,-113.524819,53.466786,-113.494485,15.05,49.14,2.0,completed,
140,9125,86,2024-11-21 09:54:00,2024-11-21 09:59:00,2024-11-21 10:44:00,48.442723,-123.326784,48.407075,-123.33355,18.02,50.27,1.75,completed,
141,6515,1831,2024-04-04 16:36:00,2024-04-04 16:40:00,2024-04-04 17:20:00,51.070373,-114.044918,51.064121,-114.015478,17.18,34.44,1.25,completed,
142,3515,1349,2024-12-05 07:39:00,2024-12-05 07:42:00,2024-12-05 08:18:00,45.492382,-75.747066,45.398387,-75.713763,15.6,38.01,1.5,completed,
143,6682,1642,2024-01-31 06:57:00,2024-01-31 07:02:00,2024-01-31 08:02:00,43.576222,-79.44586,43.693878,-79.44137,25.44,43.03,1.1,completed,
144,4963,685,2024-07-18 05:44:00,2024-07-18 05:51:00,2024-07-18 06:01:00,44.579813,-63.582714,44.707969,-63.564946,5.22,10.81,1.0,completed,
145,4444,1000,2024-10-15 22:02:00,2024-10-15 22:14:00,2024-10-15 22:49:00,43.631956,-79.379785,43.707257,-79.418344,13.07,27.25,1.25,completed,
146,4300,660,2024-05-28 09:51:00,2024-05-28 09:59:00,2024-05-28 10:58:00,53.504815,-113.420926,53.540341,-113.519548,23.67,45.8,1.25,completed,
147,8201,424,2024-08-19 20:47:00,2024-08-19 20:56:00,2024-08-19 21:48:00,46.863747,-71.249544,46.876693,-71.257505,22.38,38.32,1.1,completed,
148,9480,1118,2024-10-22 15:22:00,2024-10-22 15:27:00,2024-10-22 15:37:00,44.570505,-63.554541,44.702577,-63.563158,5.17,11.81,1.1,completed,
149,3335,242,2024-03-23 01:23:00,2024-03-23 01:30:00,2024-03-23 02:47:00,53.515121,-113.4845,53.504173,-113.418732,32.95,99.26,2.0,completed,
150,9039,2331,2024-10-25 14:59:00,2024-10-25 15:05:00,2024-10-25 16:09:00,49.291948,-123.120167,49.354118,-123.119945,28.24,75.31,1.75,completed,
151,2548,1137,2024-05-19 23:06:00,2024-05-19 23:13:00,2024-05-19 23:26:00,45.462823,-73.49252,45.44257,-73.635605,3.53,8.44,1.0,completed,
152,2690,325,2024-03-07 10:33:00,2024-03-07 10:42:00,2024-03-07 11:29:00,53.511575,-113.547481,53.490512,-113.530305,21.36,33.4,1.0,completed,
153,8403,1746,2024-05-21 20:14:00,2024-05-21 20:17:00,2024-05-21 21:11:00,45.424926,-73.637349,45.451544,-73.56523,22.9,35.56,1.0,completed,
154,7884,467,2024-01-07 16:43:00,2024-01-07 16:46:00,2024-01-07 18:03:00,51.107345,-114.00568,50.978612,-113.994222,31.72,71.86,1.5,completed,
155,8581,1621,2024-03-09 16:25:00,2024-03-09 16:35:00,2024-03-09 17:29:00,49.826638,-97.209818,49.969232,-97.096429,24.57,47.37,1.25,completed,
156,9055,2151,2024-07-08 14:14:00,,,49.246868,-123.076121,49.316592,-123.115417,28.74,0.0,1.25,cancelled,driver_cancelled
157,3062,2069,2024-07-29 13:56:00,2024-07-29 14:06:00,2024-07-29 15:17:00,53.467226,-113.425404,53.618189,-113.433456,28.89,87.89,2.0,completed,
158,6036,2237,2024-07-14 04:28:00,2024-07-14 04:34:00,2024-07-14 05:04:00,50.982443,-114.106494,51.035589,-114.068034,11.73,34.86,1.75,completed,
159,9606,856,2024-01-21 11:01:00,,,44.616199,-63.601959,44.679212,-63.498093,33.66,0.0,1.0,cancelled,driver_cancelled
160,3745,2315,2024-09-27 08:00:00,2024-09-27 08:10:00,2024-09-27 08:26:00,49.239,-123.064406,49.208785,-123.162349,8.03,18.43,1.25,completed,
161,4013,2100,2024-04-25 03:39:00,2024-04-25 03:43:00,2024-04-25 05:05:00,45.556179,-73.522229,45.564103,-73.618141,34.38,56.8,1.1,completed,
162,4771,571,2024-03-28 20:44:00,2024-03-28 20:52:00,2024-03-28 20:58:00,49.930999,-97.12589,49.9539,-97.078002,3.37,10.27,1.25,completed,
163,6824,2179,2024-07-20 23:39:00,2024-07-20 23:48:00,2024-07-21 00:19:00,53.516129,-113.547897,53.542263,-113.538685,14.17,23.34,1.0,completed,
164,9108,936,2024-05-09 15:28:00,2024-05-09 15:40:00,2024-05-09 16:22:00,49.259715,-123.14864,49.231148,-123.129178,17.15,55.02,2.0,completed,
165,3245,554,2024-11-24 20:38:00,2024-11-24 20:44:00,2024-11-24 21:57:00,46.871897,-71.207917,46.757003,-71.160796,32.35,85.38,1.75,completed,
166,3087,242,2024-08-29 04:27:00,2024-08-29 04:36:00,2024-08-29 05:27:00,49.866705,-97.1415,49.902441,-97.19991,20.94,32.82,1.0,completed,
